predictor,PrcIncMSE,metric,region,iteration
clayave,4.999574874133418,peak2z_length,Western Mountains,1
siltave,8.1118463049484,peak2z_length,Western Mountains,1
sandave,10.17835483100637,peak2z_length,Western Mountains,1
p_mm_cy,6.897073617290091,peak2z_length,Western Mountains,2
p_mm_jas,8.754434500944514,peak2z_length,Western Mountains,2
p_mm_ond,3.235351199285492,peak2z_length,Western Mountains,2
p_mm_jfm,4.594806978558996,peak2z_length,Western Mountains,2
p_mm_amj,3.367236421042539,peak2z_length,Western Mountains,2
pet_mm_cy,4.908212314098856,peak2z_length,Western Mountains,2
pet_mm_jas,7.077130670685753,peak2z_length,Western Mountains,2
pet_mm_ond,5.155170937702343,peak2z_length,Western Mountains,2
pet_mm_jfm,6.112836053848243,peak2z_length,Western Mountains,2
pet_mm_amj,4.5754380822119645,peak2z_length,Western Mountains,2
T_max_c_cy,4.698699530493243,peak2z_length,Western Mountains,2
T_max_c_jas,5.346478094940322,peak2z_length,Western Mountains,2
T_max_c_ond,4.048415674792685,peak2z_length,Western Mountains,2
T_max_c_jfm,3.958524479913137,peak2z_length,Western Mountains,2
T_max_c_amj,4.7039754402531075,peak2z_length,Western Mountains,2
swe_mm_cy,5.062102112807606,peak2z_length,Western Mountains,2
swe_mm_jas,3.353599183133714,peak2z_length,Western Mountains,2
swe_mm_ond,3.6789533742491143,peak2z_length,Western Mountains,2
swe_mm_jfm,5.055626142815555,peak2z_length,Western Mountains,2
swe_mm_amj,3.4952253506167583,peak2z_length,Western Mountains,2
p.pet_cy,6.050174572995309,peak2z_length,Western Mountains,2
swe.p_cy,3.3310204174471068,peak2z_length,Western Mountains,2
p.pet_jfm,4.491568980959926,peak2z_length,Western Mountains,2
swe.p_jfm,3.3331988757997126,peak2z_length,Western Mountains,2
p.pet_amj,4.260914340840483,peak2z_length,Western Mountains,2
swe.p_amj,3.239938149978453,peak2z_length,Western Mountains,2
p.pet_jas,9.085670786268988,peak2z_length,Western Mountains,2
swe.p_jas,3.957140974583658,peak2z_length,Western Mountains,2
p.pet_ond,4.33901485963994,peak2z_length,Western Mountains,2
swe.p_ond,6.174866352448894,peak2z_length,Western Mountains,2
p_mm_cy.previous,5.5158966122853155,peak2z_length,Western Mountains,2
p_mm_jas.previous,5.105142883235404,peak2z_length,Western Mountains,2
p_mm_ond.previous,7.088234972366668,peak2z_length,Western Mountains,2
p_mm_jfm.previous,3.9620755294492764,peak2z_length,Western Mountains,2
p_mm_amj.previous,4.010238136350543,peak2z_length,Western Mountains,2
pet_mm_cy.previous,4.962497710434931,peak2z_length,Western Mountains,2
pet_mm_jas.previous,6.426749910328337,peak2z_length,Western Mountains,2
pet_mm_ond.previous,6.124666269017958,peak2z_length,Western Mountains,2
pet_mm_jfm.previous,5.333072329545702,peak2z_length,Western Mountains,2
pet_mm_amj.previous,6.6358527957500835,peak2z_length,Western Mountains,2
T_max_c_cy.previous,4.747310029556464,peak2z_length,Western Mountains,2
T_max_c_jas.previous,6.033255618686296,peak2z_length,Western Mountains,2
T_max_c_ond.previous,6.296445058019407,peak2z_length,Western Mountains,2
T_max_c_jfm.previous,4.38021858168988,peak2z_length,Western Mountains,2
T_max_c_amj.previous,4.763904890185571,peak2z_length,Western Mountains,2
swe_mm_cy.previous,5.273360725067668,peak2z_length,Western Mountains,2
swe_mm_jas.previous,4.985872021788538,peak2z_length,Western Mountains,2
swe_mm_ond.previous,4.110829642343292,peak2z_length,Western Mountains,2
swe_mm_jfm.previous,3.1949369491946262,peak2z_length,Western Mountains,2
swe_mm_amj.previous,2.7411441094835327,peak2z_length,Western Mountains,2
p.pet_cy.previous,4.9937446315600935,peak2z_length,Western Mountains,2
swe.p_cy.previous,4.886503050440181,peak2z_length,Western Mountains,2
p.pet_jfm.previous,2.8665352298239704,peak2z_length,Western Mountains,2
swe.p_jfm.previous,4.65254686856901,peak2z_length,Western Mountains,2
p.pet_amj.previous,3.468623295320588,peak2z_length,Western Mountains,2
swe.p_amj.previous,3.934427064287971,peak2z_length,Western Mountains,2
p.pet_jas.previous,7.353520437268868,peak2z_length,Western Mountains,2
swe.p_jas.previous,3.481567968603806,peak2z_length,Western Mountains,2
p.pet_ond.previous,4.222891148482434,peak2z_length,Western Mountains,2
swe.p_ond.previous,5.362056361316834,peak2z_length,Western Mountains,2
dams_n,5.4356336719582465,peak2z_length,Western Mountains,2
maxstorage_af,9.594448183376498,peak2z_length,Western Mountains,2
normstorage_af,8.126623277622345,peak2z_length,Western Mountains,2
majordams_n,5.722743507414389,peak2z_length,Western Mountains,2
wuse_mm,8.221923432370302,peak2z_length,Western Mountains,2
irrig_prc,3.3511824064958433,peak2z_length,Western Mountains,2
lulc_water_prc,5.732426261255098,peak2z_length,Western Mountains,2
lulc_dev_prc,10.446969818352814,peak2z_length,Western Mountains,2
lulc_wetland_prc,6.073541239389458,peak2z_length,Western Mountains,2
lulc_forest_prc,14.12115042372126,peak2z_length,Western Mountains,2
lulc_barren_prc,6.996772956143069,peak2z_length,Western Mountains,2
lulc_grass_prc,11.959861554068908,peak2z_length,Western Mountains,2
lulc_ag_prc,4.476209677777019,peak2z_length,Western Mountains,2
drain_sqkm,7.102356785598754,peak2z_length,Western Mountains,2
elev_mean_m_basin,8.626263782365154,peak2z_length,Western Mountains,2
slope_pct,7.657478045931006,peak2z_length,Western Mountains,2
awcave,5.182051578239613,peak2z_length,Western Mountains,2
permave,8.077751819137003,peak2z_length,Western Mountains,2
topwet,5.959794772227198,peak2z_length,Western Mountains,2
depth_bedrock_m,6.852883267543208,peak2z_length,Western Mountains,2
porosity,5.725365946326117,peak2z_length,Western Mountains,2
storage_m,6.964526163271814,peak2z_length,Western Mountains,2
clayave,5.69557698201741,peak2z_length,Western Mountains,2
siltave,7.597044985956615,peak2z_length,Western Mountains,2
sandave,5.120754359398876,peak2z_length,Western Mountains,2
p_mm_cy,3.7767659228966246,peak2z_length,Western Mountains,3
p_mm_jas,5.760518325368986,peak2z_length,Western Mountains,3
p_mm_ond,4.719860439988612,peak2z_length,Western Mountains,3
p_mm_jfm,5.212064211294311,peak2z_length,Western Mountains,3
p_mm_amj,4.968561022705297,peak2z_length,Western Mountains,3
pet_mm_cy,6.133958118475915,peak2z_length,Western Mountains,3
