predictor,PrcIncMSE,metric,region,iteration
storage_m,4.355028195462636,peak2z_length,North Great Plains,1
clayave,9.447972696413474,peak2z_length,North Great Plains,1
siltave,9.330874110622752,peak2z_length,North Great Plains,1
sandave,8.363639762262071,peak2z_length,North Great Plains,1
p_mm_cy,2.920992345446981,peak2z_length,North Great Plains,2
p_mm_jas,2.1043021386148797,peak2z_length,North Great Plains,2
p_mm_ond,3.037025693867337,peak2z_length,North Great Plains,2
p_mm_jfm,0.6678543752876085,peak2z_length,North Great Plains,2
p_mm_amj,2.2237845709538218,peak2z_length,North Great Plains,2
pet_mm_cy,3.2694039145290206,peak2z_length,North Great Plains,2
pet_mm_jas,4.008698899013799,peak2z_length,North Great Plains,2
pet_mm_ond,3.0464933739703826,peak2z_length,North Great Plains,2
pet_mm_jfm,2.9133362761263673,peak2z_length,North Great Plains,2
pet_mm_amj,-1.3543560885427226,peak2z_length,North Great Plains,2
T_max_c_cy,4.027325443818377,peak2z_length,North Great Plains,2
T_max_c_jas,1.7805835350183543,peak2z_length,North Great Plains,2
T_max_c_ond,2.3148024979064084,peak2z_length,North Great Plains,2
T_max_c_jfm,2.1212730299425937,peak2z_length,North Great Plains,2
T_max_c_amj,0.8587702366394913,peak2z_length,North Great Plains,2
swe_mm_cy,2.6505044366994226,peak2z_length,North Great Plains,2
swe_mm_jas,-1.7924548537858576,peak2z_length,North Great Plains,2
swe_mm_ond,3.3338876911718227,peak2z_length,North Great Plains,2
swe_mm_jfm,2.2245673709273683,peak2z_length,North Great Plains,2
swe_mm_amj,2.356779490685834,peak2z_length,North Great Plains,2
p.pet_cy,3.793075369448721,peak2z_length,North Great Plains,2
swe.p_cy,3.5751366545366885,peak2z_length,North Great Plains,2
p.pet_jfm,-0.24866940553786152,peak2z_length,North Great Plains,2
swe.p_jfm,4.873913046484397,peak2z_length,North Great Plains,2
p.pet_amj,1.9569456546794886,peak2z_length,North Great Plains,2
swe.p_amj,0.2172240063085767,peak2z_length,North Great Plains,2
p.pet_jas,1.189784383526453,peak2z_length,North Great Plains,2
swe.p_jas,-3.606458716754115,peak2z_length,North Great Plains,2
p.pet_ond,2.1702579078877364,peak2z_length,North Great Plains,2
swe.p_ond,0.8576221734319792,peak2z_length,North Great Plains,2
p_mm_cy.previous,4.847612076159326,peak2z_length,North Great Plains,2
p_mm_jas.previous,1.4644727974995886,peak2z_length,North Great Plains,2
p_mm_ond.previous,1.9775943558242772,peak2z_length,North Great Plains,2
p_mm_jfm.previous,2.323681445987818,peak2z_length,North Great Plains,2
p_mm_amj.previous,2.0718786074597846,peak2z_length,North Great Plains,2
