predictor,ImpCondPerm
dams_n,0.9737504076587733
majordams_n,1.3840984427528271
wuse_mm,3.8596901321091885
irrig_prc,0.8434074616699561
lulc_water_prc,0.9762026806740237
lulc_dev_prc,3.88484024852193
lulc_wetland_prc,4.316732054711285
lulc_forest_prc,3.4517668910849726
lulc_barren_prc,0.5109758207408953
lulc_grass_prc,3.7184608241818307
lulc_ag_prc,0.6673554841691333
drain_sqkm,2.8584426357797232
elev_mean_m_basin,0.9457409101080998
slope_pct,1.265783981614708
awcave,1.455678530629335
permave,3.1153135745383866
topwet,0.9139185867913292
depth_bedrock_m,1.1723690265784323
porosity,0.8797970780924604
clayave,2.182389403641727
siltave,1.8869849485811037
p_mm_ond,0.7552692970667678
p_mm_jfm,0.914685415669575
pet_mm_cy,1.6986283692840558
pet_mm_jas,0.8430806941240125
pet_mm_ond,2.1351010657813037
pet_mm_amj,0.7928940168677496
T_max_c_cy,1.7857894871292184
T_max_c_jas,0.6142168712791107
swe_mm_cy,0.21206568594946607
swe_mm_ond,0.18464678596153686
p.pet_cy,1.5315446696277453
swe.p_cy,0.4378555689861443
p.pet_jfm,1.230735263981883
swe.p_jfm,0.5818369113635505
p.pet_amj,0.171376623504666
swe.p_amj,0.13809706435244387
p.pet_jas,1.517323530320594
p.pet_ond,0.6194652232582726
swe.p_ond,0.24512904034916227
p_mm_jas.previous,1.6891912554269066
p_mm_ond.previous,0.10683404543817224
p_mm_jfm.previous,0.45598932004991355
p_mm_amj.previous,0.28317381243727935
pet_mm_jas.previous,1.899250502687457
pet_mm_ond.previous,1.876017878735792
pet_mm_amj.previous,1.1368275511742878
swe_mm_ond.previous,-0.06482260436059985
swe_mm_jfm.previous,0.13946905437123244
p.pet_cy.previous,1.411298745306341
swe.p_cy.previous,0.29593595874197454
p.pet_jfm.previous,0.6385439080962326
swe.p_jfm.previous,0.3566601320666785
swe.p_amj.previous,0.32002795634960385
p.pet_ond.previous,0.22397664754555816
swe.p_ond.previous,0.31592239630400626
