mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
6,251,3,mae,standard,0.09824412935854487,5,3.923868705026588e-4,Model019,annualfractionnoflow,National
6,251,3,rmse,standard,0.14385688067045208,5,5.296202659307561e-4,Model019,annualfractionnoflow,National
6,251,3,rsq,standard,0.7593165694923003,5,0.004159391642931913,Model019,annualfractionnoflow,National
6,551,3,mae,standard,0.09808889965166366,5,2.7589235178338223e-4,Model020,annualfractionnoflow,National
6,551,3,rmse,standard,0.14354331087389838,5,3.9331223773176477e-4,Model020,annualfractionnoflow,National
6,551,3,rsq,standard,0.7606210345690273,5,0.003959791821723814,Model020,annualfractionnoflow,National
6,851,3,mae,standard,0.0981857990164784,5,3.296010430138373e-4,Model021,annualfractionnoflow,National
6,851,3,rmse,standard,0.14363185135262135,5,4.8398556486488136e-4,Model021,annualfractionnoflow,National
6,851,3,rsq,standard,0.7603897344577905,5,0.0036472402037117766,Model021,annualfractionnoflow,National
6,1151,3,mae,standard,0.09810063752662972,5,2.724690918146373e-4,Model022,annualfractionnoflow,National
6,1151,3,rmse,standard,0.14353277105910955,5,3.625846132253557e-4,Model022,annualfractionnoflow,National
6,1151,3,rsq,standard,0.760822979233647,5,0.0038627652221820876,Model022,annualfractionnoflow,National
6,1451,3,mae,standard,0.0981263637122745,5,2.9273438295530826e-4,Model023,annualfractionnoflow,National
6,1451,3,rmse,standard,0.1434837299859713,5,3.7821233048807463e-4,Model023,annualfractionnoflow,National
6,1451,3,rsq,standard,0.7609271615443765,5,0.003930712719477359,Model023,annualfractionnoflow,National
6,1751,3,mae,standard,0.09805991563293104,5,2.856950060830273e-4,Model024,annualfractionnoflow,National
6,1751,3,rmse,standard,0.14340275323336873,5,3.731073530730847e-4,Model024,annualfractionnoflow,National
6,1751,3,rsq,standard,0.7611909507711704,5,0.003956766388097609,Model024,annualfractionnoflow,National
8,251,3,mae,standard,0.09826288916480089,5,3.0272733789155515e-4,Model025,annualfractionnoflow,National
8,251,3,rmse,standard,0.14398092333154372,5,4.3217419504400516e-4,Model025,annualfractionnoflow,National
8,251,3,rsq,standard,0.7577310198437506,5,0.004025966730567986,Model025,annualfractionnoflow,National
8,551,3,mae,standard,0.09786401243860134,5,3.111248921808092e-4,Model026,annualfractionnoflow,National
8,551,3,rmse,standard,0.14336458753160397,5,3.404307196873337e-4,Model026,annualfractionnoflow,National
8,551,3,rsq,standard,0.7604418808754768,5,0.004139316614840446,Model026,annualfractionnoflow,National
8,851,3,mae,standard,0.09785428054129558,5,2.4297670161418594e-4,Model027,annualfractionnoflow,National
8,851,3,rmse,standard,0.14338685583173938,5,3.416527338755314e-4,Model027,annualfractionnoflow,National
8,851,3,rsq,standard,0.7603493594713295,5,0.0038329641673697156,Model027,annualfractionnoflow,National
8,1151,3,mae,standard,0.09782640285867443,5,2.965547729580446e-4,Model028,annualfractionnoflow,National
8,1151,3,rmse,standard,0.14346775240194717,5,3.719280305634775e-4,Model028,annualfractionnoflow,National
8,1151,3,rsq,standard,0.7600105081628972,5,0.0037660036987045855,Model028,annualfractionnoflow,National
8,1451,3,mae,standard,0.09783054347597718,5,2.711745909641876e-4,Model029,annualfractionnoflow,National
8,1451,3,rmse,standard,0.14333942201292071,5,3.437037422725585e-4,Model029,annualfractionnoflow,National
8,1451,3,rsq,standard,0.7605419575261044,5,0.003780008610634503,Model029,annualfractionnoflow,National
8,1751,3,mae,standard,0.09782180881334505,5,3.0199462044724814e-4,Model030,annualfractionnoflow,National
8,1751,3,rmse,standard,0.14335431728933348,5,3.771411090114416e-4,Model030,annualfractionnoflow,National
8,1751,3,rsq,standard,0.7605039391503997,5,0.0037323985774529956,Model030,annualfractionnoflow,National
10,251,3,mae,standard,0.09765622175799529,5,2.786177510177663e-4,Model031,annualfractionnoflow,National
10,251,3,rmse,standard,0.14372470956836636,5,3.586655409090042e-4,Model031,annualfractionnoflow,National
10,251,3,rsq,standard,0.7579581608402347,5,0.003427302450155826,Model031,annualfractionnoflow,National
10,551,3,mae,standard,0.09760480410901985,5,2.810794943358152e-4,Model032,annualfractionnoflow,National
10,551,3,rmse,standard,0.143286845499483,5,3.137032918076601e-4,Model032,annualfractionnoflow,National
10,551,3,rsq,standard,0.7599150951324375,5,0.0038731814267541176,Model032,annualfractionnoflow,National
10,851,3,mae,standard,0.09760526418594344,5,3.1179462993828204e-4,Model033,annualfractionnoflow,National
10,851,3,rmse,standard,0.1433104780552328,5,3.407676374767055e-4,Model033,annualfractionnoflow,National
10,851,3,rsq,standard,0.7598015482234572,5,0.0037374620388660345,Model033,annualfractionnoflow,National
10,1151,3,mae,standard,0.09761316898429301,5,3.330081947105734e-4,Model034,annualfractionnoflow,National
10,1151,3,rmse,standard,0.1433270623152155,5,3.9664167453811605e-4,Model034,annualfractionnoflow,National
10,1151,3,rsq,standard,0.7598445709319969,5,0.0038061798434334292,Model034,annualfractionnoflow,National
10,1451,3,mae,standard,0.0975731110801148,5,2.9158768194070437e-4,Model035,annualfractionnoflow,National
10,1451,3,rmse,standard,0.14329080194986069,5,3.3954734674649474e-4,Model035,annualfractionnoflow,National
10,1451,3,rsq,standard,0.7598719763493323,5,0.003988850921177194,Model035,annualfractionnoflow,National
10,1751,3,mae,standard,0.09748572374300442,5,3.352785451827291e-4,Model036,annualfractionnoflow,National
10,1751,3,rmse,standard,0.14317614112149882,5,4.367044053181112e-4,Model036,annualfractionnoflow,National
10,1751,3,rsq,standard,0.760282099092723,5,0.0036059799393841872,Model036,annualfractionnoflow,National
1,251,7,mae,standard,0.1101719126296464,5,7.247734927545167e-4,Model037,annualfractionnoflow,National
1,251,7,rmse,standard,0.1556227604206705,5,9.125312987482223e-4,Model037,annualfractionnoflow,National
1,251,7,rsq,standard,0.7322121148541062,5,0.0042435215151579355,Model037,annualfractionnoflow,National
1,551,7,mae,standard,0.10962717890956582,5,5.240203208676705e-4,Model038,annualfractionnoflow,National
1,551,7,rmse,standard,0.15489803498931265,5,6.939999420205221e-4,Model038,annualfractionnoflow,National
1,551,7,rsq,standard,0.7349064799928033,5,0.005063051631751179,Model038,annualfractionnoflow,National
1,851,7,mae,standard,0.10986647150747553,5,5.460681899318326e-4,Model039,annualfractionnoflow,National
1,851,7,rmse,standard,0.1551816676411523,5,7.22128340180476e-4,Model039,annualfractionnoflow,National
1,851,7,rsq,standard,0.7340462690055366,5,0.004772541576516831,Model039,annualfractionnoflow,National
1,1151,7,mae,standard,0.1096418298835114,5,6.727275171476712e-4,Model040,annualfractionnoflow,National
1,1151,7,rmse,standard,0.15492269591574137,5,8.190878765559965e-4,Model040,annualfractionnoflow,National
1,1151,7,rsq,standard,0.7349787573034544,5,0.004861151451450263,Model040,annualfractionnoflow,National
1,1451,7,mae,standard,0.10977710579536894,5,7.129011722861271e-4,Model041,annualfractionnoflow,National
1,1451,7,rmse,standard,0.15507848423501455,5,8.317993049317747e-4,Model041,annualfractionnoflow,National
1,1451,7,rsq,standard,0.7345915441523202,5,0.004550434003086537,Model041,annualfractionnoflow,National
1,1751,7,mae,standard,0.10971930745798694,5,6.604983851995225e-4,Model042,annualfractionnoflow,National
1,1751,7,rmse,standard,0.15500181404058588,5,8.49807183637457e-4,Model042,annualfractionnoflow,National
1,1751,7,rsq,standard,0.7348391914102209,5,0.004537934437492408,Model042,annualfractionnoflow,National
2,251,7,mae,standard,0.10326389387190602,5,4.317429181967846e-4,Model043,annualfractionnoflow,National
2,251,7,rmse,standard,0.14876738207506982,5,5.073904480491906e-4,Model043,annualfractionnoflow,National
2,251,7,rsq,standard,0.7480721392993321,5,0.00492600122751665,Model043,annualfractionnoflow,National
2,551,7,mae,standard,0.10298139939428494,5,4.3202324934455463e-4,Model044,annualfractionnoflow,National
2,551,7,rmse,standard,0.1483647094841435,5,6.330630646132309e-4,Model044,annualfractionnoflow,National
2,551,7,rsq,standard,0.7498870409769416,5,0.00429420075217478,Model044,annualfractionnoflow,National
2,851,7,mae,standard,0.10287782340729627,5,4.1662698800201307e-4,Model045,annualfractionnoflow,National
2,851,7,rmse,standard,0.14805887585995678,5,6.491591664400631e-4,Model045,annualfractionnoflow,National
2,851,7,rsq,standard,0.7513372758098519,5,0.004042428815548489,Model045,annualfractionnoflow,National
2,1151,7,mae,standard,0.10294931140651789,5,4.448425020777223e-4,Model046,annualfractionnoflow,National
2,1151,7,rmse,standard,0.1481839502430396,5,6.463023447450204e-4,Model046,annualfractionnoflow,National
2,1151,7,rsq,standard,0.7506399722780654,5,0.004404502731988502,Model046,annualfractionnoflow,National
2,1451,7,mae,standard,0.10294278565348361,5,4.959578691671777e-4,Model047,annualfractionnoflow,National
2,1451,7,rmse,standard,0.14818252020714476,5,6.841287262045706e-4,Model047,annualfractionnoflow,National
2,1451,7,rsq,standard,0.7507410451179668,5,0.004314483722452237,Model047,annualfractionnoflow,National
2,1751,7,mae,standard,0.10296820926362547,5,4.2471595520785784e-4,Model048,annualfractionnoflow,National
2,1751,7,rmse,standard,0.1481670161968672,5,6.325214404335289e-4,Model048,annualfractionnoflow,National
2,1751,7,rsq,standard,0.7508170955466674,5,0.004377875389047058,Model048,annualfractionnoflow,National
4,251,7,mae,standard,0.1006516934921651,5,3.8250181400790225e-4,Model049,annualfractionnoflow,National
4,251,7,rmse,standard,0.14616752617088044,5,5.071196603289584e-4,Model049,annualfractionnoflow,National
4,251,7,rsq,standard,0.7538398827201737,5,0.004032603642479001,Model049,annualfractionnoflow,National
4,551,7,mae,standard,0.10056083263057833,5,3.5840018029496574e-4,Model050,annualfractionnoflow,National
4,551,7,rmse,standard,0.1458868674615996,5,5.108719207886039e-4,Model050,annualfractionnoflow,National
4,551,7,rsq,standard,0.7551490449371707,5,0.003887742326627349,Model050,annualfractionnoflow,National
4,851,7,mae,standard,0.10064649775145934,5,3.434687113656933e-4,Model051,annualfractionnoflow,National
4,851,7,rmse,standard,0.14596979132298388,5,4.2017727382054955e-4,Model051,annualfractionnoflow,National
4,851,7,rsq,standard,0.7549617290336895,5,0.004316713127516606,Model051,annualfractionnoflow,National
4,1151,7,mae,standard,0.10069616558283845,5,3.044263489954338e-4,Model052,annualfractionnoflow,National
4,1151,7,rmse,standard,0.14593201782812398,5,4.328378356633961e-4,Model052,annualfractionnoflow,National
4,1151,7,rsq,standard,0.7551689895348164,5,0.003980702428032033,Model052,annualfractionnoflow,National
4,1451,7,mae,standard,0.10052652497233465,5,3.729148311495885e-4,Model053,annualfractionnoflow,National
4,1451,7,rmse,standard,0.14580081340202114,5,5.242050589690296e-4,Model053,annualfractionnoflow,National
4,1451,7,rsq,standard,0.7555633573522049,5,0.00408134228019745,Model053,annualfractionnoflow,National
4,1751,7,mae,standard,0.10053609492338611,5,3.5582007015868655e-4,Model054,annualfractionnoflow,National
4,1751,7,rmse,standard,0.14582038257442842,5,4.7481267675229924e-4,Model054,annualfractionnoflow,National
4,1751,7,rsq,standard,0.7555175837052427,5,0.0040261267349844575,Model054,annualfractionnoflow,National
6,251,7,mae,standard,0.09985112086573299,5,3.6705982527734276e-4,Model055,annualfractionnoflow,National
6,251,7,rmse,standard,0.1453306051692646,5,4.4143296917246164e-4,Model055,annualfractionnoflow,National
6,251,7,rsq,standard,0.7552211500391085,5,0.0035217500754384672,Model055,annualfractionnoflow,National
6,551,7,mae,standard,0.09974021863815703,5,2.2688355133025471e-4,Model056,annualfractionnoflow,National
6,551,7,rmse,standard,0.1452285190283741,5,2.4659588407265e-4,Model056,annualfractionnoflow,National
6,551,7,rsq,standard,0.7557075392475973,5,0.004395947984378293,Model056,annualfractionnoflow,National
6,851,7,mae,standard,0.09984816971061197,5,2.521638640806623e-4,Model057,annualfractionnoflow,National
6,851,7,rmse,standard,0.14539490537394764,5,3.684173306646674e-4,Model057,annualfractionnoflow,National
6,851,7,rsq,standard,0.7553106733920117,5,0.0038601180800663278,Model057,annualfractionnoflow,National
6,1151,7,mae,standard,0.0998003762833867,5,2.8940637425740607e-4,Model058,annualfractionnoflow,National
6,1151,7,rmse,standard,0.14524595558331185,5,3.899900958701779e-4,Model058,annualfractionnoflow,National
6,1151,7,rsq,standard,0.7559523531437443,5,0.003715105147419521,Model058,annualfractionnoflow,National
6,1451,7,mae,standard,0.0997220357380538,5,2.808558530388723e-4,Model059,annualfractionnoflow,National
6,1451,7,rmse,standard,0.14511644595254594,5,3.4993188666205215e-4,Model059,annualfractionnoflow,National
6,1451,7,rsq,standard,0.7564619462785964,5,0.003938898682581873,Model059,annualfractionnoflow,National
6,1751,7,mae,standard,0.09971721253067786,5,3.0074966635611406e-4,Model060,annualfractionnoflow,National
6,1751,7,rmse,standard,0.1451523849755173,5,4.1544578556187143e-4,Model060,annualfractionnoflow,National
6,1751,7,rsq,standard,0.7562929706686924,5,0.0037284367668034076,Model060,annualfractionnoflow,National
8,251,7,mae,standard,0.09931871607809506,5,3.336229375819421e-4,Model061,annualfractionnoflow,National
8,251,7,rmse,standard,0.14509086752152184,5,4.1840456760873306e-4,Model061,annualfractionnoflow,National
8,251,7,rsq,standard,0.7549211640997899,5,0.0035578844220324245,Model061,annualfractionnoflow,National
8,551,7,mae,standard,0.09930642633714713,5,3.087097086721496e-4,Model062,annualfractionnoflow,National
8,551,7,rmse,standard,0.14493015962345962,5,4.0436708160966183e-4,Model062,annualfractionnoflow,National
8,551,7,rsq,standard,0.7557708208342938,5,0.0036559062494989918,Model062,annualfractionnoflow,National
8,851,7,mae,standard,0.09929094625994431,5,2.78764797816443e-4,Model063,annualfractionnoflow,National
8,851,7,rmse,standard,0.14489442647371323,5,3.5219722529402216e-4,Model063,annualfractionnoflow,National
8,851,7,rsq,standard,0.7559647341611632,5,0.0038640264877466872,Model063,annualfractionnoflow,National
8,1151,7,mae,standard,0.09927538408104887,5,3.0263334607949147e-4,Model064,annualfractionnoflow,National
8,1151,7,rmse,standard,0.14486440907650766,5,3.707973839770102e-4,Model064,annualfractionnoflow,National
8,1151,7,rsq,standard,0.7562343969850228,5,0.00383541734045361,Model064,annualfractionnoflow,National
8,1451,7,mae,standard,0.09924292842636381,5,2.946841035026032e-4,Model065,annualfractionnoflow,National
