predictor,boruta_decision,boruta_imp_median,metric,region_rf
swe.p_jfm.previous,Confirmed,10.816952351213207,annualfractionnoflow,National
p.pet_amj.previous,Confirmed,10.985847259964496,annualfractionnoflow,National
swe.p_amj.previous,Confirmed,8.777398728303575,annualfractionnoflow,National
p.pet_jas.previous,Confirmed,12.126912305377859,annualfractionnoflow,National
swe.p_jas.previous,Confirmed,3.5627179857941846,annualfractionnoflow,National
p.pet_ond.previous,Confirmed,13.99349261780806,annualfractionnoflow,National
swe.p_ond.previous,Confirmed,10.629634500598735,annualfractionnoflow,National
dams_n,Confirmed,6.000854131392162,annualfractionnoflow,North Great Plains
maxstorage_af,Confirmed,5.9912000694242655,annualfractionnoflow,North Great Plains
normstorage_af,Confirmed,6.033613982721281,annualfractionnoflow,North Great Plains
majordams_n,Confirmed,3.623528328046001,annualfractionnoflow,North Great Plains
wuse_mm,Confirmed,5.693266344170187,annualfractionnoflow,North Great Plains
irrig_prc,Confirmed,6.807930383373712,annualfractionnoflow,North Great Plains
lulc_water_prc,Confirmed,6.279018070657248,annualfractionnoflow,North Great Plains
lulc_dev_prc,Confirmed,7.109742587625451,annualfractionnoflow,North Great Plains
lulc_wetland_prc,Confirmed,6.437602681541593,annualfractionnoflow,North Great Plains
lulc_forest_prc,Confirmed,16.39053676023869,annualfractionnoflow,North Great Plains
lulc_barren_prc,Confirmed,9.64766516533054,annualfractionnoflow,North Great Plains
lulc_grass_prc,Confirmed,7.365592640787306,annualfractionnoflow,North Great Plains
lulc_ag_prc,Confirmed,9.416489350166692,annualfractionnoflow,North Great Plains
drain_sqkm,Confirmed,7.106528294567156,annualfractionnoflow,North Great Plains
elev_mean_m_basin,Confirmed,7.508367726139189,annualfractionnoflow,North Great Plains
slope_pct,Confirmed,7.154433110578969,annualfractionnoflow,North Great Plains
awcave,Confirmed,6.995955959338212,annualfractionnoflow,North Great Plains
permave,Confirmed,11.465670110312711,annualfractionnoflow,North Great Plains
