predictor,ImpCondPerm
dams_n,1.9763963920604797
majordams_n,2.2866369043554124
wuse_mm,0.774202481039942
irrig_prc,0.9841876476189768
lulc_water_prc,5.114409514054269
lulc_dev_prc,0.7887321966204052
lulc_wetland_prc,0.5519413988039592
lulc_forest_prc,0.3631286324884804
lulc_barren_prc,0.3916621800618787
lulc_grass_prc,1.351152837399638
lulc_ag_prc,0.12392345773906609
drain_sqkm,8.82865149337922
elev_mean_m_basin,0.9502010540250064
slope_pct,1.2499689245394443
awcave,0.7852186580674412
permave,2.45043099472512
topwet,1.765165255833126
depth_bedrock_m,2.5522487224181654
porosity,2.0716408743899346
clayave,0.6277123303537163
siltave,0.827870878875075
p_mm_ond,0.730722263983873
p_mm_jfm,-0.28570829382506974
pet_mm_cy,0.47276620263746777
pet_mm_jas,0.7237680490158505
pet_mm_ond,0.05113894467221913
pet_mm_amj,2.576705200047319
T_max_c_cy,-0.6666665885945521
T_max_c_jas,-0.5638167842250928
swe_mm_cy,-0.28570558417549097
swe_mm_ond,-0.16959355150040903
p.pet_cy,2.157442852696475
swe.p_cy,-0.059664835690231004
p.pet_jfm,-0.13922969902862803
swe.p_jfm,-0.28096602811660776
p.pet_amj,6.630829892834792
swe.p_amj,-0.03039093939051954
p.pet_jas,3.6202138943080637
p.pet_ond,0.22535308957867248
swe.p_ond,-0.12518408805634404
p_mm_jas.previous,0.08976937151791045
p_mm_ond.previous,-0.13715261909059698
p_mm_jfm.previous,0.7153875022411461
p_mm_amj.previous,-1.0526411553573158
pet_mm_jas.previous,0.4031204537172307
pet_mm_ond.previous,-0.23334465337848087
pet_mm_amj.previous,0.3167931687965361
swe_mm_ond.previous,-0.382153938525998
swe_mm_jfm.previous,0.511015411013963
p.pet_cy.previous,11.405426465128269
swe.p_cy.previous,-0.5695838485711863
p.pet_jfm.previous,1.0739679916534712
swe.p_jfm.previous,-0.2760960695443501
swe.p_amj.previous,-0.14125610335023617
p.pet_ond.previous,0.3309231847062714
swe.p_ond.previous,-0.14308992509951907
