metric,n,OOBmse,OOBr2
annualnoflowdays,10,4062.05877754346,0.6652358937074924
annualnoflowdays,11,3801.504262977115,0.6867088225807741
annualnoflowdays,12,3698.738459621007,0.6951780014385808
annualnoflowdays,13,3559.624723030215,0.7066427015458971
annualnoflowdays,14,3454.45600641891,0.7153099103073629
annualnoflowdays,15,3375.3960904367664,0.7218254295469266
annualnoflowdays,16,3445.5852486663925,0.7160409709477397
annualnoflowdays,17,3351.508698337893,0.7237940474093383
annualnoflowdays,18,3293.240035094885,0.7285961091331228
annualnoflowdays,19,3224.0167751406907,0.7343009657150441
annualnoflowdays,20,3177.656410828424,0.7381216356699423
annualnoflowdays,21,3158.4640210959487,0.7397033270112713
annualnoflowdays,22,3111.457621363032,0.7435772383105397
annualnoflowdays,23,3167.488720545567,0.7389595796626331
annualnoflowdays,24,3212.7673883208445,0.7352280549403167
annualnoflowdays,25,3258.4486605512334,0.7314633506093373
annualnoflowdays,26,3226.730214497757,0.7340773446029201
annualnoflowdays,27,3194.0674311903435,0.7367691637177446
annualnoflowdays,28,3220.896100487874,0.7347000769477037
annualnoflowdays,29,3225.013376664348,0.7343609436696579
annualnoflowdays,30,3277.6969444471993,0.7300214846983506
annualnoflowdays,31,3241.464499501672,0.7330058916944622
annualnoflowdays,32,3203.9647811215023,0.7360946819225094
annualnoflowdays,33,3270.733635726253,0.7305950410038695
annualnoflowdays,34,3308.9749329839015,0.7274451681413647
annualnoflowdays,35,3359.7123039899675,0.7232660142028859
annualnoflowdays,36,3317.1782866881986,0.7267694713667339
annualnoflowdays,37,3360.0802657275312,0.7232357057987597
annualnoflowdays,38,3366.0583447743593,0.7227433012437405
annualnoflowdays,39,3406.664841487555,0.718461082368417
annualnoflowdays,40,3411.566491952948,0.7180559925134278
annualnoflowdays,41,3465.688998167487,0.712911211860265
annualnoflowdays,42,3511.1017975506734,0.7091493320297765
annualnoflowdays,43,3556.9857342745217,0.7053484243903156
annualnoflowdays,44,3606.894494360054,0.7020789594402235
annualnoflowdays,45,3625.776562630873,0.7002537378263793
annualnoflowdays,46,3619.8400485092407,0.7007445148744302
annualnoflowdays,47,3659.867464921054,0.6974354117770231
annualnoflowdays,48,3677.3999980506405,0.695985981239523
annualnoflowdays,49,3668.58547450936,0.6967146859566232
annualnoflowdays,50,3675.687635258814,0.6961275438365196
annualnoflowdays,51,3708.1102556163664,0.6934471361792428
annualnoflowdays,52,3728.217448368356,0.6917848561776754
annualnoflowdays,53,3759.9003283295906,0.6891656035350402
annualnoflowdays,54,3776.97113776116,0.6877543441176428
zeroflowfirst,10,3217.8779373714997,0.3358044017396816
zeroflowfirst,11,3217.4260246919866,0.3358976801108232
zeroflowfirst,12,3116.7669682510545,0.3566745099080765
zeroflowfirst,13,3050.7582775233145,0.37029922864557596
zeroflowfirst,14,2985.3835394281837,0.3837930945178395
zeroflowfirst,15,2905.932619645301,0.40019239623921854
zeroflowfirst,16,2829.8604665161,0.4158942936517328
zeroflowfirst,17,2788.114586926207,0.42451097520670855
zeroflowfirst,18,2769.9317715859243,0.42826405290202374
zeroflowfirst,19,2774.7019160822274,0.4272794571407258
zeroflowfirst,20,2741.897279953931,0.4340505949349529
zeroflowfirst,21,2697.4638657052624,0.4432220050176331
zeroflowfirst,22,2719.2460626778507,0.4387259863273002
zeroflowfirst,23,2685.579061503253,0.4456751231255277
zeroflowfirst,24,2684.3892532103823,0.44592070901979686
zeroflowfirst,25,2646.712642502657,0.4536974611143402
zeroflowfirst,26,2655.421383478647,0.45189990771572786
zeroflowfirst,27,2632.650270445739,0.45660004654582287
zeroflowfirst,28,2638.6319306629675,0.45375219368490016
zeroflowfirst,29,2644.7196383079845,0.45249192054565157
zeroflowfirst,30,2627.2211291232325,0.4561144501394452
zeroflowfirst,31,2622.19515473643,0.45715492397419366
zeroflowfirst,32,2617.3131210823035,0.45816559929534506
zeroflowfirst,33,2619.233903378331,0.45776796023723276
zeroflowfirst,34,2610.6451753132274,0.45954599294049847
zeroflowfirst,35,2610.0656867704006,0.459665958268601
zeroflowfirst,36,2605.131552579624,0.4606874194077827
zeroflowfirst,37,2596.2378857257618,0.46252858033385347
zeroflowfirst,38,2591.8390725243216,0.46343921968212853
zeroflowfirst,39,2602.086323875042,0.4613178406045684
zeroflowfirst,40,2618.8460775882036,0.45784824767127297
zeroflowfirst,41,2621.829939971448,0.45723053048902706
zeroflowfirst,42,2630.741530484971,0.45538565901899697
zeroflowfirst,43,2644.4552984306133,0.45275142583195416
zeroflowfirst,44,2633.70345413994,0.4549764327969952
zeroflowfirst,45,2641.276434122038,0.45303539042932284
zeroflowfirst,46,2629.459843367236,0.45548241069011774
zeroflowfirst,47,2643.1658295349466,0.45264412792798236
zeroflowfirst,48,2643.4201078429983,0.4469207954821496
zeroflowfirst,49,2648.434634560368,0.4458716128570921
zeroflowfirst,50,2649.1884652018134,0.4457138898942249
zeroflowfirst,51,2660.2836542577747,0.4433924585338296
zeroflowfirst,52,2660.004557528581,0.44345085356400593
zeroflowfirst,53,2665.9015579233787,0.4424503033050592
zeroflowfirst,54,2673.2936764380192,0.4409043071959676
peak2z_length,10,268.722839174131,0.3578711018130547
peak2z_length,11,265.1528643646292,0.36640176484871545
peak2z_length,12,263.31896507967394,0.36849452536780836
peak2z_length,13,265.98153079007994,0.3621090194010027
peak2z_length,14,263.71817146227795,0.3682516080100029
peak2z_length,15,266.05479234210827,0.36265413069041585
peak2z_length,16,263.5931288506798,0.36855115304464847
peak2z_length,17,262.7144162856001,0.3706561473532789
peak2z_length,18,263.2863915301808,0.36928595568609746
peak2z_length,19,264.35202285012804,0.36673318934050214
peak2z_length,20,262.449601304762,0.37129052320000844
peak2z_length,21,264.561206083514,0.36623208177332134
peak2z_length,22,263.0028017837502,0.36996530730339017
peak2z_length,23,260.59584304854076,0.3757312820260398
peak2z_length,24,258.7251373595111,0.3802126391671803
peak2z_length,25,257.52177941621585,0.3830953356512712
peak2z_length,26,256.57586230313603,0.38536132138835744
peak2z_length,27,256.2612579759309,0.38611496978779425
peak2z_length,28,256.9740573423386,0.38440742778929393
peak2z_length,29,259.3659422500195,0.3786775630785161
peak2z_length,30,257.69345107220227,0.38268408870526693
peak2z_length,31,259.59164332691705,0.3781368862961396
peak2z_length,32,259.99706362342715,0.3771656842777872
peak2z_length,33,260.3291583628386,0.3763701368323904
peak2z_length,34,260.2288057271088,0.37661053595203675
peak2z_length,35,260.4586582033851,0.3760599143112249
peak2z_length,36,262.1330103937198,0.37204893054774846
peak2z_length,37,262.7811726660664,0.3704962295297144
peak2z_length,38,262.64064370444095,0.3708328727918857
peak2z_length,39,264.8219184595119,0.3656075338955801
peak2z_length,40,265.3916597217467,0.3642426938306297
peak2z_length,41,266.65208787784655,0.36122328316044416
peak2z_length,42,266.656810568174,0.36121196974960224
peak2z_length,43,267.52074380013147,0.35534337150817696
peak2z_length,44,266.9287011179293,0.35500994977743283
peak2z_length,45,267.5760594774261,0.3534457129641747
peak2z_length,46,269.1506750470701,0.34964090901805567
peak2z_length,47,268.8515322888423,0.3507318169065997
peak2z_length,48,269.6702149078587,0.3487547235567733
peak2z_length,49,269.25596859238,0.34975511567027273
peak2z_length,50,269.6163573452741,0.34888478791425515
peak2z_length,51,270.3238335976152,0.3471762545202711
peak2z_length,52,269.54974400546075,0.34951486911899654
peak2z_length,53,272.0105540301458,0.343576372175189
peak2z_length,54,273.06271563201534,0.3413024417898305
