value,yhat,predictor,metric
-2.6706862994330747,0.02543133162085011,pet_mm_cy,annualnoflowdays
-2.557979674005291,0.02543133162085011,pet_mm_cy,annualnoflowdays
-2.445273048577507,0.02543133162085011,pet_mm_cy,annualnoflowdays
-2.3325664231497236,0.025245229650700113,pet_mm_cy,annualnoflowdays
-2.21985979772194,0.025245229650700113,pet_mm_cy,annualnoflowdays
-2.107153172294156,0.025210642522720143,pet_mm_cy,annualnoflowdays
-1.9944465468663726,0.025211635064573138,pet_mm_cy,annualnoflowdays
-1.881739921438589,0.02520283804903766,pet_mm_cy,annualnoflowdays
-1.7690332960108053,0.025654329500586923,pet_mm_cy,annualnoflowdays
-1.6563266705830215,0.025761929975929437,pet_mm_cy,annualnoflowdays
-1.543620045155238,0.027315203827557612,pet_mm_cy,annualnoflowdays
-1.4309134197274542,0.029273839417004933,pet_mm_cy,annualnoflowdays
-1.3182067942996705,0.029654468480154007,pet_mm_cy,annualnoflowdays
-1.205500168871887,0.0306972025471133,pet_mm_cy,annualnoflowdays
-1.0927935434441032,0.03148226693372175,pet_mm_cy,annualnoflowdays
-0.9800869180163196,0.03266443378310163,pet_mm_cy,annualnoflowdays
-0.8673802925885359,0.035421172453894534,pet_mm_cy,annualnoflowdays
-0.7546736671607521,0.04653941939215945,pet_mm_cy,annualnoflowdays
-0.6419670417329684,0.050800948361023196,pet_mm_cy,annualnoflowdays
-0.5292604163051848,0.05223021552882623,pet_mm_cy,annualnoflowdays
-0.4165537908774013,0.05411037342614973,pet_mm_cy,annualnoflowdays
-0.3038471654496173,0.05572220202413979,pet_mm_cy,annualnoflowdays
-0.19114054002183378,0.05600872829950994,pet_mm_cy,annualnoflowdays
-0.07843391459405025,0.05542427229447636,pet_mm_cy,annualnoflowdays
0.03427271083373373,0.054432078141645475,pet_mm_cy,annualnoflowdays
0.14697933626151727,0.05523206338725875,pet_mm_cy,annualnoflowdays
0.2596859616893008,0.05502027964606735,pet_mm_cy,annualnoflowdays
0.37239258711708434,0.05540667366568554,pet_mm_cy,annualnoflowdays
0.4850992125448683,0.055078659424234525,pet_mm_cy,annualnoflowdays
0.5978058379726519,0.05419412739293109,pet_mm_cy,annualnoflowdays
0.7105124634004354,0.0534105148335541,pet_mm_cy,annualnoflowdays
0.8232190888282194,0.052742192869316314,pet_mm_cy,annualnoflowdays
0.9359257142560029,0.05276538816921237,pet_mm_cy,annualnoflowdays
1.0486323396837864,0.05172450630419251,pet_mm_cy,annualnoflowdays
1.1613389651115704,0.05228705908945305,pet_mm_cy,annualnoflowdays
1.274045590539354,0.052913938269254196,pet_mm_cy,annualnoflowdays
1.386752215967138,0.05298835129725474,pet_mm_cy,annualnoflowdays
1.4994588413949215,0.053438586329310124,pet_mm_cy,annualnoflowdays
1.612165466822705,0.05387226296194575,pet_mm_cy,annualnoflowdays
1.7248720922504885,0.05379748806711623,pet_mm_cy,annualnoflowdays
1.837578717678272,0.05664199787177565,pet_mm_cy,annualnoflowdays
1.9502853431060556,0.057648192101202644,pet_mm_cy,annualnoflowdays
2.06299196853384,0.057648192101202644,pet_mm_cy,annualnoflowdays
2.1756985939616236,0.05763672386920247,pet_mm_cy,annualnoflowdays
2.288405219389407,0.05758507210154807,pet_mm_cy,annualnoflowdays
2.4011118448171906,0.05756289627343539,pet_mm_cy,annualnoflowdays
2.513818470244974,0.05741252748972658,pet_mm_cy,annualnoflowdays
2.6265250956727577,0.05741252748972658,pet_mm_cy,annualnoflowdays
2.739231721100542,0.05719891044436174,pet_mm_cy,annualnoflowdays
2.8519383465283257,0.05719891044436174,pet_mm_cy,annualnoflowdays
2.9646449719561088,0.05719891044436174,pet_mm_cy,annualnoflowdays
-2.571389511106325,0.02933698827862943,pet_mm_amj,annualnoflowdays
-2.446853498118749,0.02933698827862943,pet_mm_amj,annualnoflowdays
-2.322317485131173,0.02933698827862943,pet_mm_amj,annualnoflowdays
-2.1977814721435966,0.02933698827862943,pet_mm_amj,annualnoflowdays
-2.0732454591560208,0.02921091017186098,pet_mm_amj,annualnoflowdays
-1.9487094461684444,0.02917749910853112,pet_mm_amj,annualnoflowdays
-1.8241734331808683,0.029175173506089894,pet_mm_amj,annualnoflowdays
-1.6996374201932922,0.030595946768219348,pet_mm_amj,annualnoflowdays
-1.575101407205716,0.031739206634688294,pet_mm_amj,annualnoflowdays
-1.4505653942181398,0.03207976557724515,pet_mm_amj,annualnoflowdays
-1.3260293812305637,0.03215970830246507,pet_mm_amj,annualnoflowdays
-1.2014933682429876,0.03373005649607964,pet_mm_amj,annualnoflowdays
-1.0769573552554115,0.035111119082477285,pet_mm_amj,annualnoflowdays
-0.9524213422678354,0.0352743153757026,pet_mm_amj,annualnoflowdays
-0.827885329280259,0.04555508201010059,pet_mm_amj,annualnoflowdays
-0.7033493162926829,0.04829754598865006,pet_mm_amj,annualnoflowdays
-0.5788133033051068,0.050255492788119055,pet_mm_amj,annualnoflowdays
-0.4542772903175307,0.05148918103799083,pet_mm_amj,annualnoflowdays
-0.3297412773299544,0.05145521309285133,pet_mm_amj,annualnoflowdays
-0.2052052643423785,0.05138369923135038,pet_mm_amj,annualnoflowdays
-0.080669251354802185,0.05242834055903463,pet_mm_amj,annualnoflowdays
0.0438667616327737,0.05505110317885088,pet_mm_amj,annualnoflowdays
0.16840277462035003,0.0549632089308654,pet_mm_amj,annualnoflowdays
0.29293878760792635,0.054029943101485595,pet_mm_amj,annualnoflowdays
0.41747480059550224,0.053988094240470096,pet_mm_amj,annualnoflowdays
0.5420108135830786,0.05478668599684013,pet_mm_amj,annualnoflowdays
0.6665468265706544,0.053724642189137445,pet_mm_amj,annualnoflowdays
0.7910828395582308,0.0536889916133181,pet_mm_amj,annualnoflowdays
0.9156188525458071,0.05424502887370668,pet_mm_amj,annualnoflowdays
1.040154865533383,0.054825708304848786,pet_mm_amj,annualnoflowdays
1.1646908785209593,0.05487861039157109,pet_mm_amj,annualnoflowdays
1.2892268915085352,0.054850705461153774,pet_mm_amj,annualnoflowdays
1.4137629044961115,0.0547256441022429,pet_mm_amj,annualnoflowdays
1.5382989174836874,0.05474251425024344,pet_mm_amj,annualnoflowdays
1.6628349304712637,0.05486052482446669,pet_mm_amj,annualnoflowdays
1.78737094345884,0.054993688016706954,pet_mm_amj,annualnoflowdays
1.9119069564464164,0.05500490900834218,pet_mm_amj,annualnoflowdays
2.036442969433992,0.05634437536999594,pet_mm_amj,annualnoflowdays
2.160978982421568,0.05843984889695256,pet_mm_amj,annualnoflowdays
2.2855149954091445,0.05960536820124537,pet_mm_amj,annualnoflowdays
2.410051008396721,0.059762145396966664,pet_mm_amj,annualnoflowdays
2.534587021384297,0.05974322497636071,pet_mm_amj,annualnoflowdays
2.6591230343718726,0.0598103109101458,pet_mm_amj,annualnoflowdays
2.783659047359449,0.059823931381210255,pet_mm_amj,annualnoflowdays
2.9081950603470252,0.0597944944861152,pet_mm_amj,annualnoflowdays
3.0327310733346016,0.059742223770468096,pet_mm_amj,annualnoflowdays
3.157267086322178,0.05957064893684438,pet_mm_amj,annualnoflowdays
3.2818030993097533,0.05952314768971372,pet_mm_amj,annualnoflowdays
3.4063391122973297,0.05942423981504952,pet_mm_amj,annualnoflowdays
3.530875125284906,0.059218763493299895,pet_mm_amj,annualnoflowdays
3.655411138272482,0.059218763493299895,pet_mm_amj,annualnoflowdays
-2.6770929855452072,0.03900498154620535,pet_mm_ond,annualnoflowdays
-2.5824540253788695,0.03900498154620535,pet_mm_ond,annualnoflowdays
-2.4878150652125317,0.03886642291235866,pet_mm_ond,annualnoflowdays
-2.3931761050461944,0.03881395091252541,pet_mm_ond,annualnoflowdays
-2.2985371448798566,0.03880529951595112,pet_mm_ond,annualnoflowdays
-2.203898184713519,0.038841863808545166,pet_mm_ond,annualnoflowdays
-2.109259224547181,0.03885691228682984,pet_mm_ond,annualnoflowdays
-2.0146202643808433,0.038744631951805907,pet_mm_ond,annualnoflowdays
-1.9199813042145057,0.03830834004962671,pet_mm_ond,annualnoflowdays
-1.8253423440481682,0.03900932302058058,pet_mm_ond,annualnoflowdays
-1.7307033838818304,0.04176268452448675,pet_mm_ond,annualnoflowdays
-1.6360644237154927,0.041753078671681064,pet_mm_ond,annualnoflowdays
-1.5414254635491549,0.04167374273551794,pet_mm_ond,annualnoflowdays
-1.4467865033828173,0.04172003904323221,pet_mm_ond,annualnoflowdays
-1.3521475432164796,0.04202309760834143,pet_mm_ond,annualnoflowdays
-1.257508583050142,0.04245479183472123,pet_mm_ond,annualnoflowdays
-1.1628696228838042,0.044204481570964314,pet_mm_ond,annualnoflowdays
-1.0682306627174665,0.044748107920752234,pet_mm_ond,annualnoflowdays
-0.9735917025511289,0.04508286410696543,pet_mm_ond,annualnoflowdays
-0.8789527423847912,0.04435726501523505,pet_mm_ond,annualnoflowdays
-0.7843137822184536,0.04601209834729874,pet_mm_ond,annualnoflowdays
-0.6896748220521158,0.04575533190358861,pet_mm_ond,annualnoflowdays
-0.5950358618857781,0.04590097223395389,pet_mm_ond,annualnoflowdays
-0.5003969017194403,0.047905800095388154,pet_mm_ond,annualnoflowdays
-0.4057579415531025,0.05056793330027947,pet_mm_ond,annualnoflowdays
-0.3111189813867652,0.050991469480428236,pet_mm_ond,annualnoflowdays
-0.21648002122042742,0.0539718303478399,pet_mm_ond,annualnoflowdays
