metric,n,OOBmse,OOBr2
tau_annualnoflowdays,5,0.04307317707644638,0.20028347146585002
tau_annualnoflowdays,6,0.04326945024643171,0.19663937300832313
tau_annualnoflowdays,7,0.043088885031427555,0.19999183030816103
tau_annualnoflowdays,8,0.042397105687302025,0.2128357255846537
tau_annualnoflowdays,9,0.04218802702722731,0.21671757669419156
tau_annualnoflowdays,10,0.04218744653960334,0.2167283542959152
tau_annualnoflowdays,11,0.04210407700402176,0.21827623165500742
tau_annualnoflowdays,12,0.0425772638854015,0.20949082514892836
tau_annualnoflowdays,13,0.0416208675412858,0.22724772204235955
tau_annualnoflowdays,14,0.04116007980312598,0.23580292032035655
tau_annualnoflowdays,15,0.04096646251454485,0.23939770845528985
tau_annualnoflowdays,16,0.040383764532122536,0.2502163487162482
tau_annualnoflowdays,17,0.04095395572617101,0.2396299152730894
tau_annualnoflowdays,18,0.040679301625650276,0.24472927034100767
tau_annualnoflowdays,19,0.04108927965344486,0.23711742864701635
tau_annualnoflowdays,20,0.04081577703228065,0.24219540481659962
tau_annualnoflowdays,21,0.04026169551662142,0.25248273851946323
tau_annualnoflowdays,22,0.040361569371501906,0.25062843433441107
tau_annualnoflowdays,23,0.04047887026566801,0.24845057167733386
tau_annualnoflowdays,24,0.04022984862696171,0.2530740226032463
tau_annualnoflowdays,25,0.03993764224075266,0.258499261525833
tau_annualnoflowdays,26,0.040097089731253754,0.25553888566684535
tau_annualnoflowdays,27,0.0394525986073755,0.2675048059736812
tau_annualnoflowdays,28,0.039665060114509515,0.263560147360949
tau_annualnoflowdays,29,0.039802698582130376,0.26100468790823295
tau_annualnoflowdays,30,0.0398601180102055,0.2599386122479872
tau_annualnoflowdays,31,0.03968862453295893,0.2631226394686046
tau_annualnoflowdays,32,0.039876324785911514,0.2596377097539979
tau_annualnoflowdays,33,0.04014798267599098,0.2545939837149903
tau_annualnoflowdays,34,0.040152383231846236,0.25451228095956224
tau_annualnoflowdays,35,0.04013528525398558,0.25482972992496844
tau_annualnoflowdays,36,0.0401731693990188,0.25412635536546757
tau_annualnoflowdays,37,0.04013192675539316,0.2548920853632647
tau_annualnoflowdays,38,0.04007978976782731,0.2558600847896917
tau_annualnoflowdays,39,0.03992601362027948,0.25871516387220406
tau_annualnoflowdays,40,0.040340938206569074,0.2510114820852287
tau_annualnoflowdays,41,0.04001736258890561,0.25701913666842446
tau_annualnoflowdays,42,0.04002025581818768,0.25696541963534836
tau_annualnoflowdays,43,0.03981928663871718,0.26069670637705455
tau_annualnoflowdays,44,0.040017732489005496,0.2570122689320776
tau_annualnoflowdays,45,0.03970226270348097,0.2628694268865356
tau_annualnoflowdays,46,0.039888193357098777,0.2594173523716834
tau_annualnoflowdays,47,0.040430231111634546,0.24935362870852162
tau_annualnoflowdays,48,0.04002713707970095,0.25683765895125577
tau_annualnoflowdays,49,0.039915142897300075,0.2589169947431499
tau_annualnoflowdays,50,0.04068271863187378,0.2446658286229706
tau_annualnoflowdays,51,0.04001620905179075,0.2570405537720525
tau_annualnoflowdays,52,0.040680460176999715,0.24470776014078122
tau_annualnoflowdays,53,0.04052871317418417,0.24752516518363954
tau_annualnoflowdays,54,0.04062804517513991,0.24568092130918162
tau_annualnoflowdays,55,0.040831463602326194,0.24190416070151688
tau_annualnoflowdays,56,0.040331569168415765,0.25118543198110865
tau_annualnoflowdays,57,0.04055125340803518,0.2471066727762723
tau_annualnoflowdays,58,0.04009380394298782,0.255599891131589
tau_annualnoflowdays,59,0.04053992517132748,0.24731699805871477
tau_peak2z_length,5,0.04950382169812499,-0.0811822289150903
tau_peak2z_length,6,0.04888103579749975,-0.0675803487959965
tau_peak2z_length,7,0.0480120581413715,-0.0486015474246726
tau_peak2z_length,8,0.047671597199711334,-0.04116575141669254
tau_peak2z_length,9,0.048807612481902934,-0.06597675575432405
tau_peak2z_length,10,0.04731145780552073,-0.033300170546885166
tau_peak2z_length,11,0.047991219006258905,-0.04814641281532661
tau_peak2z_length,12,0.04775398709418508,-0.04296517793956589
tau_peak2z_length,13,0.047785356402178125,-0.04365029551578603
tau_peak2z_length,14,0.04716602167741029,-0.030123790385488736
tau_peak2z_length,15,0.04763519190844351,-0.04037064605700391
tau_peak2z_length,16,0.0467245090767633,-0.02048098784445407
tau_zeroflowfirst,5,0.036811973126483384,0.07326646831971839
tau_zeroflowfirst,6,0.03631623981363411,0.08574644819501231
tau_zeroflowfirst,7,0.03615691900236582,0.08975731546337429
tau_zeroflowfirst,8,0.03564294523304918,0.10269649491983113
tau_zeroflowfirst,9,0.035888471376114735,0.09651542690423798
tau_zeroflowfirst,10,0.0353758881295933,0.10941960024742681
tau_zeroflowfirst,11,0.03552415188737975,0.10568709193005077
tau_zeroflowfirst,12,0.035458661209805606,0.10733580569803824
tau_zeroflowfirst,13,0.034643029338720883,0.12786916319681219
tau_zeroflowfirst,14,0.034609997992828746,0.12870072024836154
tau_zeroflowfirst,15,0.03446394976482359,0.13237745307846072
tau_zeroflowfirst,16,0.034326052826770176,0.13584897893150438
tau_zeroflowfirst,17,0.034211400452918525,0.13873532786395615
tau_zeroflowfirst,18,0.03401307283814449,0.14372818304826673
tau_zeroflowfirst,19,0.03390345816808966,0.14648770886762041
tau_zeroflowfirst,20,0.0343507942922752,0.13522611784150962
tau_zeroflowfirst,21,0.033886955568318035,0.1469031582790311
tau_zeroflowfirst,22,0.033996320270150725,0.1441499253560815
tau_zeroflowfirst,23,0.0336981869300785,0.15165536827834647
tau_zeroflowfirst,24,0.03419402355868668,0.13917278745097095
tau_zeroflowfirst,25,0.0343023456481928,0.1364458020698266
tau_zeroflowfirst,26,0.034358991168350485,0.1350197632435669
tau_zeroflowfirst,27,0.03475425546920662,0.12506906920657657
tau_zeroflowfirst,28,0.034863105791572625,0.1223287856764278
tau_zeroflowfirst,29,0.034418204622913846,0.13352907721915996
tau_zeroflowfirst,30,0.0345619905389994,0.12990929760664072
tau_zeroflowfirst,31,0.03403774256241694,0.14310712802842218
tau_zeroflowfirst,32,0.03400497088420412,0.14393214800181242
tau_zeroflowfirst,33,0.03412683948566873,0.14086413208622495
tau_zeroflowfirst,34,0.03434882802462993,0.13527561820794942
tau_zeroflowfirst,35,0.034071833215952536,0.14224890313404392
tau_zeroflowfirst,36,0.03434403663557565,0.13539624040020926
tau_zeroflowfirst,37,0.03452910499003271,0.1307371842518481
tau_zeroflowfirst,38,0.034964557353883305,0.11977476434451995
tau_zeroflowfirst,39,0.034591464877459496,0.129167287454639
tau_zeroflowfirst,40,0.03496411298391739,0.1197859512631474
tau_zeroflowfirst,41,0.03492665661611359,0.12072890729268326
tau_zeroflowfirst,42,0.03489047663328968,0.12163973060398281
tau_zeroflowfirst,43,0.03466478751143863,0.12732140586317664
tau_zeroflowfirst,44,0.03434074699456859,0.13547905640732616
tau_zeroflowfirst,45,0.03424456389275516,0.13790044537567236
