predictor,PrcIncMSE,metric,region,iteration
porosity,5.283669624799981,peak2z_length,Eastern Forests,1
storage_m,4.386411174221665,peak2z_length,Eastern Forests,1
clayave,5.628773395791086,peak2z_length,Eastern Forests,1
siltave,1.5392139300416057,peak2z_length,Eastern Forests,1
sandave,3.0391311187825996,peak2z_length,Eastern Forests,1
p_mm_cy,4.877598032289345,peak2z_length,Eastern Forests,2
p_mm_jas,5.263318357836311,peak2z_length,Eastern Forests,2
p_mm_ond,5.5097928805710685,peak2z_length,Eastern Forests,2
p_mm_jfm,3.159407184576338,peak2z_length,Eastern Forests,2
p_mm_amj,3.481378581136654,peak2z_length,Eastern Forests,2
pet_mm_cy,4.79093484438883,peak2z_length,Eastern Forests,2
pet_mm_jas,4.955989758441496,peak2z_length,Eastern Forests,2
pet_mm_ond,3.1349799345442535,peak2z_length,Eastern Forests,2
pet_mm_jfm,4.505174476659001,peak2z_length,Eastern Forests,2
pet_mm_amj,4.675310959314833,peak2z_length,Eastern Forests,2
T_max_c_cy,5.495948768855018,peak2z_length,Eastern Forests,2
T_max_c_jas,3.6864435968516758,peak2z_length,Eastern Forests,2
T_max_c_ond,5.40923051077176,peak2z_length,Eastern Forests,2
T_max_c_jfm,2.475123175475513,peak2z_length,Eastern Forests,2
T_max_c_amj,3.8996225067857333,peak2z_length,Eastern Forests,2
swe_mm_cy,2.9474209400676794,peak2z_length,Eastern Forests,2
swe_mm_jas,0,peak2z_length,Eastern Forests,2
swe_mm_ond,3.2367920662385377,peak2z_length,Eastern Forests,2
swe_mm_jfm,1.7159535686349652,peak2z_length,Eastern Forests,2
swe_mm_amj,0.16350440673884337,peak2z_length,Eastern Forests,2
p.pet_cy,5.134580464454388,peak2z_length,Eastern Forests,2
swe.p_cy,2.2593202610544747,peak2z_length,Eastern Forests,2
p.pet_jfm,4.340411884737844,peak2z_length,Eastern Forests,2
swe.p_jfm,2.5537749434180053,peak2z_length,Eastern Forests,2
p.pet_amj,4.0686300623414,peak2z_length,Eastern Forests,2
swe.p_amj,0.84448768355949555,peak2z_length,Eastern Forests,2
p.pet_jas,4.70771250533159,peak2z_length,Eastern Forests,2
swe.p_jas,0,peak2z_length,Eastern Forests,2
p.pet_ond,5.5152841351683914,peak2z_length,Eastern Forests,2
swe.p_ond,0.08861356923796757,peak2z_length,Eastern Forests,2
p_mm_cy.previous,5.569350179719407,peak2z_length,Eastern Forests,2
p_mm_jas.previous,6.206847671811174,peak2z_length,Eastern Forests,2
p_mm_ond.previous,3.475072170104486,peak2z_length,Eastern Forests,2
p_mm_jfm.previous,3.2846957137676243,peak2z_length,Eastern Forests,2
p_mm_amj.previous,-0.32530928932540853,peak2z_length,Eastern Forests,2
pet_mm_cy.previous,4.162803657456841,peak2z_length,Eastern Forests,2
pet_mm_jas.previous,5.228396745122383,peak2z_length,Eastern Forests,2
pet_mm_ond.previous,5.338062911504209,peak2z_length,Eastern Forests,2
pet_mm_jfm.previous,8.01903529030844,peak2z_length,Eastern Forests,2
pet_mm_amj.previous,2.034335398769713,peak2z_length,Eastern Forests,2
T_max_c_cy.previous,4.298095272597103,peak2z_length,Eastern Forests,2
T_max_c_jas.previous,6.900511231003614,peak2z_length,Eastern Forests,2
T_max_c_ond.previous,4.613038752941193,peak2z_length,Eastern Forests,2
T_max_c_jfm.previous,4.2782652956825125,peak2z_length,Eastern Forests,2
T_max_c_amj.previous,3.302827738346057,peak2z_length,Eastern Forests,2
swe_mm_cy.previous,3.5847953584919154,peak2z_length,Eastern Forests,2
swe_mm_jas.previous,0,peak2z_length,Eastern Forests,2
swe_mm_ond.previous,2.224850527785767,peak2z_length,Eastern Forests,2
swe_mm_jfm.previous,3.777037493691998,peak2z_length,Eastern Forests,2
swe_mm_amj.previous,1.2099065605098414,peak2z_length,Eastern Forests,2
p.pet_cy.previous,3.516487601089043,peak2z_length,Eastern Forests,2
swe.p_cy.previous,3.6658808001529115,peak2z_length,Eastern Forests,2
p.pet_jfm.previous,3.992521645195817,peak2z_length,Eastern Forests,2
swe.p_jfm.previous,4.339597016386999,peak2z_length,Eastern Forests,2
p.pet_amj.previous,1.698862539993502,peak2z_length,Eastern Forests,2
swe.p_amj.previous,0.8867533475169944,peak2z_length,Eastern Forests,2
p.pet_jas.previous,4.478460339296657,peak2z_length,Eastern Forests,2
swe.p_jas.previous,0,peak2z_length,Eastern Forests,2
p.pet_ond.previous,3.9527401301289875,peak2z_length,Eastern Forests,2
swe.p_ond.previous,3.0820011686800886,peak2z_length,Eastern Forests,2
dams_n,6.364124565187255,peak2z_length,Eastern Forests,2
maxstorage_af,9.146829566722507,peak2z_length,Eastern Forests,2
normstorage_af,8.805661575160755,peak2z_length,Eastern Forests,2
majordams_n,6.138930636816938,peak2z_length,Eastern Forests,2
wuse_mm,10.683317615872628,peak2z_length,Eastern Forests,2
irrig_prc,7.944599885895472,peak2z_length,Eastern Forests,2
lulc_water_prc,8.244113831833783,peak2z_length,Eastern Forests,2
lulc_dev_prc,9.444425446932279,peak2z_length,Eastern Forests,2
lulc_wetland_prc,8.475461118751321,peak2z_length,Eastern Forests,2
lulc_forest_prc,6.262085104070405,peak2z_length,Eastern Forests,2
lulc_barren_prc,6.066417983944353,peak2z_length,Eastern Forests,2
lulc_grass_prc,11.605316128145978,peak2z_length,Eastern Forests,2
lulc_ag_prc,10.456713932838506,peak2z_length,Eastern Forests,2
drain_sqkm,22.934291936557422,peak2z_length,Eastern Forests,2
elev_mean_m_basin,6.4698116631553315,peak2z_length,Eastern Forests,2
slope_pct,7.894868593101446,peak2z_length,Eastern Forests,2
awcave,3.7404584755438712,peak2z_length,Eastern Forests,2
permave,6.082573651836699,peak2z_length,Eastern Forests,2
topwet,10.037062492003438,peak2z_length,Eastern Forests,2
depth_bedrock_m,11.71915488933888,peak2z_length,Eastern Forests,2
porosity,9.084118886719688,peak2z_length,Eastern Forests,2
storage_m,6.617937468496255,peak2z_length,Eastern Forests,2
clayave,4.284082066938243,peak2z_length,Eastern Forests,2
siltave,7.668693426630144,peak2z_length,Eastern Forests,2
sandave,7.531633933640858,peak2z_length,Eastern Forests,2
p_mm_cy,4.083133131662864,peak2z_length,Eastern Forests,3
p_mm_jas,4.885829542039034,peak2z_length,Eastern Forests,3
p_mm_ond,4.413756834531872,peak2z_length,Eastern Forests,3
p_mm_jfm,2.3811969369659876,peak2z_length,Eastern Forests,3
p_mm_amj,1.9063870890942445,peak2z_length,Eastern Forests,3
pet_mm_cy,5.819248802954905,peak2z_length,Eastern Forests,3
pet_mm_jas,4.822866944154957,peak2z_length,Eastern Forests,3
pet_mm_ond,7.443013744160062,peak2z_length,Eastern Forests,3
pet_mm_jfm,4.432040482490785,peak2z_length,Eastern Forests,3
pet_mm_amj,5.4278985714421335,peak2z_length,Eastern Forests,3
T_max_c_cy,5.594851415243722,peak2z_length,Eastern Forests,3
T_max_c_jas,5.9610525157825505,peak2z_length,Eastern Forests,3
T_max_c_ond,11.62066788558741,peak2z_length,Eastern Forests,3
T_max_c_jfm,2.374706635111277,peak2z_length,Eastern Forests,3
T_max_c_amj,3.981304138862737,peak2z_length,Eastern Forests,3
swe_mm_cy,4.2345250454846655,peak2z_length,Eastern Forests,3
swe_mm_jas,0,peak2z_length,Eastern Forests,3
swe_mm_ond,3.910903493937507,peak2z_length,Eastern Forests,3
swe_mm_jfm,3.7255314973940443,peak2z_length,Eastern Forests,3
swe_mm_amj,2.4931146134177373,peak2z_length,Eastern Forests,3
p.pet_cy,6.833107363854048,peak2z_length,Eastern Forests,3
swe.p_cy,2.7711265427139207,peak2z_length,Eastern Forests,3
p.pet_jfm,3.8427091061743126,peak2z_length,Eastern Forests,3
swe.p_jfm,2.5399463568175427,peak2z_length,Eastern Forests,3
p.pet_amj,3.831795258184709,peak2z_length,Eastern Forests,3
swe.p_amj,0.8244746688629371,peak2z_length,Eastern Forests,3
p.pet_jas,4.178960308922457,peak2z_length,Eastern Forests,3
swe.p_jas,0,peak2z_length,Eastern Forests,3
p.pet_ond,4.9812668200331975,peak2z_length,Eastern Forests,3
swe.p_ond,4.366249530284561,peak2z_length,Eastern Forests,3
