predictor,PrcIncMSE,metric,region,iteration
permave,9.442530779009038,zeroflowfirst,Western Mountains,1
topwet,12.559448176737828,zeroflowfirst,Western Mountains,1
depth_bedrock_m,7.90530437902165,zeroflowfirst,Western Mountains,1
porosity,12.126088133297646,zeroflowfirst,Western Mountains,1
storage_m,9.973106023305046,zeroflowfirst,Western Mountains,1
clayave,10.228772042410068,zeroflowfirst,Western Mountains,1
siltave,12.242784812031868,zeroflowfirst,Western Mountains,1
sandave,15.509663731698328,zeroflowfirst,Western Mountains,1
p_mm_cy,2.1533285299631,zeroflowfirst,Western Mountains,2
p_mm_jas,7.724358045415543,zeroflowfirst,Western Mountains,2
p_mm_ond,2.7033581766743664,zeroflowfirst,Western Mountains,2
p_mm_jfm,4.691654881425252,zeroflowfirst,Western Mountains,2
p_mm_amj,6.350721386038388,zeroflowfirst,Western Mountains,2
pet_mm_cy,7.193037192923488,zeroflowfirst,Western Mountains,2
pet_mm_jas,8.073006015336501,zeroflowfirst,Western Mountains,2
pet_mm_ond,6.865800075415978,zeroflowfirst,Western Mountains,2
pet_mm_jfm,5.272033014044568,zeroflowfirst,Western Mountains,2
pet_mm_amj,11.630123420184196,zeroflowfirst,Western Mountains,2
T_max_c_cy,6.464549233237421,zeroflowfirst,Western Mountains,2
T_max_c_jas,6.118538537045775,zeroflowfirst,Western Mountains,2
T_max_c_ond,6.265183324946207,zeroflowfirst,Western Mountains,2
T_max_c_jfm,4.855867983949236,zeroflowfirst,Western Mountains,2
T_max_c_amj,7.630312549359806,zeroflowfirst,Western Mountains,2
swe_mm_cy,5.592024064959001,zeroflowfirst,Western Mountains,2
swe_mm_jas,-0.7877806336417191,zeroflowfirst,Western Mountains,2
swe_mm_ond,5.419007280005844,zeroflowfirst,Western Mountains,2
swe_mm_jfm,7.0866462327500725,zeroflowfirst,Western Mountains,2
swe_mm_amj,4.615784847368361,zeroflowfirst,Western Mountains,2
p.pet_cy,6.195248712714255,zeroflowfirst,Western Mountains,2
swe.p_cy,3.814153634926977,zeroflowfirst,Western Mountains,2
p.pet_jfm,7.920373818298226,zeroflowfirst,Western Mountains,2
swe.p_jfm,5.0239489453142925,zeroflowfirst,Western Mountains,2
p.pet_amj,7.497190723458249,zeroflowfirst,Western Mountains,2
swe.p_amj,6.067069896413399,zeroflowfirst,Western Mountains,2
p.pet_jas,7.803964839841388,zeroflowfirst,Western Mountains,2
swe.p_jas,1.3373504747718867,zeroflowfirst,Western Mountains,2
p.pet_ond,5.152410257553014,zeroflowfirst,Western Mountains,2
swe.p_ond,4.326387478900665,zeroflowfirst,Western Mountains,2
p_mm_cy.previous,9.840566739970662,zeroflowfirst,Western Mountains,2
p_mm_jas.previous,4.7540014724289605,zeroflowfirst,Western Mountains,2
p_mm_ond.previous,7.463950293672553,zeroflowfirst,Western Mountains,2
p_mm_jfm.previous,7.727921276873028,zeroflowfirst,Western Mountains,2
p_mm_amj.previous,5.468941894327288,zeroflowfirst,Western Mountains,2
pet_mm_cy.previous,8.932885283191478,zeroflowfirst,Western Mountains,2
pet_mm_jas.previous,9.115458393523884,zeroflowfirst,Western Mountains,2
pet_mm_ond.previous,8.10234191259171,zeroflowfirst,Western Mountains,2
pet_mm_jfm.previous,11.876966129719817,zeroflowfirst,Western Mountains,2
pet_mm_amj.previous,7.7173382419624446,zeroflowfirst,Western Mountains,2
T_max_c_cy.previous,7.367612003088337,zeroflowfirst,Western Mountains,2
T_max_c_jas.previous,6.370193067640504,zeroflowfirst,Western Mountains,2
T_max_c_ond.previous,8.54543429939116,zeroflowfirst,Western Mountains,2
T_max_c_jfm.previous,4.359823659119406,zeroflowfirst,Western Mountains,2
T_max_c_amj.previous,6.436002421465656,zeroflowfirst,Western Mountains,2
swe_mm_cy.previous,5.231698290052156,zeroflowfirst,Western Mountains,2
