predictor,ImpCondPerm
dams_n,10.947237495292052
majordams_n,6.491941083404842
wuse_mm,2.6891577419343258
irrig_prc,5.001631157697156
lulc_water_prc,2.769212890473847
lulc_dev_prc,1.7947387933834562
lulc_wetland_prc,1.5853550586614993
lulc_forest_prc,4.921286496490966
lulc_barren_prc,5.950046535260851
lulc_grass_prc,4.381701696396006
lulc_ag_prc,5.7623430975544725
drain_sqkm,6.352383027740109
elev_mean_m_basin,4.877820189511478
slope_pct,3.351708882329106
awcave,8.520931023748398
permave,5.297462102753385
topwet,2.5111147525609088
depth_bedrock_m,5.29497898113955
porosity,4.285940856090034
clayave,3.8322845368241114
siltave,2.858067559915528
p_mm_ond,0.7713448223786236
p_mm_jfm,-1.3885921603168885
pet_mm_cy,8.26192416241425
pet_mm_jas,2.517260667043195
pet_mm_ond,2.1424464247057
pet_mm_amj,11.483728575287756
T_max_c_cy,4.083600854757936
T_max_c_jas,2.6252739259384974
swe_mm_cy,0.3316394066130688
swe_mm_ond,-0.03151320129581673
p.pet_cy,1.2863486747962223
swe.p_cy,-0.22656483264441882
p.pet_jfm,0.7877520065725078
swe.p_jfm,0.22310085131292517
p.pet_amj,16.200298277710555
swe.p_amj,1.9622641499096212
p.pet_jas,2.555462919636605
p.pet_ond,0.37344656921715197
swe.p_ond,0.7598381904795238
p_mm_jas.previous,4.009396833453708
p_mm_ond.previous,10.109759928646588
p_mm_jfm.previous,15.966284371852256
p_mm_amj.previous,3.7882212539084614
pet_mm_jas.previous,2.675314145234422
pet_mm_ond.previous,14.859182963705363
pet_mm_amj.previous,5.989774821995361
swe_mm_ond.previous,0.6949173218240825
swe_mm_jfm.previous,0.638518567250744
p.pet_cy.previous,29.673353324524165
swe.p_cy.previous,1.299714919595944
p.pet_jfm.previous,24.180457729421686
swe.p_jfm.previous,0.5802070527788319
swe.p_amj.previous,-0.31250377377512545
p.pet_ond.previous,9.730669268340435
swe.p_ond.previous,0.5359580816478003
