predictor,PrcIncMSE,metric,region,iteration
clayave,9.26646103509762,peak2z_length,South Great Plains,1
siltave,9.76391485131744,peak2z_length,South Great Plains,1
sandave,6.704740352024465,peak2z_length,South Great Plains,1
p_mm_cy,6.3281885192063605,peak2z_length,South Great Plains,2
p_mm_jas,3.612451366880838,peak2z_length,South Great Plains,2
p_mm_ond,4.676435680216792,peak2z_length,South Great Plains,2
p_mm_jfm,5.88775036730185,peak2z_length,South Great Plains,2
p_mm_amj,11.155841777277464,peak2z_length,South Great Plains,2
pet_mm_cy,5.646663844581211,peak2z_length,South Great Plains,2
pet_mm_jas,4.210324494802402,peak2z_length,South Great Plains,2
pet_mm_ond,4.0966296144797845,peak2z_length,South Great Plains,2
pet_mm_jfm,4.467423150045989,peak2z_length,South Great Plains,2
pet_mm_amj,6.983441103261099,peak2z_length,South Great Plains,2
T_max_c_cy,5.2073590154753635,peak2z_length,South Great Plains,2
T_max_c_jas,4.432869192622122,peak2z_length,South Great Plains,2
T_max_c_ond,3.9988564582754274,peak2z_length,South Great Plains,2
T_max_c_jfm,5.784119170943565,peak2z_length,South Great Plains,2
T_max_c_amj,4.057504604478451,peak2z_length,South Great Plains,2
swe_mm_cy,5.321913103716341,peak2z_length,South Great Plains,2
swe_mm_jas,0.593267491410002,peak2z_length,South Great Plains,2
swe_mm_ond,2.0916069869579608,peak2z_length,South Great Plains,2
swe_mm_jfm,4.731251089333572,peak2z_length,South Great Plains,2
swe_mm_amj,1.1027461605228737,peak2z_length,South Great Plains,2
p.pet_cy,4.055691656895005,peak2z_length,South Great Plains,2
swe.p_cy,3.472421261666531,peak2z_length,South Great Plains,2
p.pet_jfm,3.836747321644473,peak2z_length,South Great Plains,2
swe.p_jfm,4.102786123343427,peak2z_length,South Great Plains,2
p.pet_amj,8.861371514362592,peak2z_length,South Great Plains,2
swe.p_amj,1.5097418742813664,peak2z_length,South Great Plains,2
p.pet_jas,2.636910911813644,peak2z_length,South Great Plains,2
swe.p_jas,-1.1329170446109602,peak2z_length,South Great Plains,2
p.pet_ond,3.005485522965543,peak2z_length,South Great Plains,2
swe.p_ond,2.774029392386985,peak2z_length,South Great Plains,2
p_mm_cy.previous,6.587635698449548,peak2z_length,South Great Plains,2
p_mm_jas.previous,3.9593033062135463,peak2z_length,South Great Plains,2
p_mm_ond.previous,3.716983451209636,peak2z_length,South Great Plains,2
p_mm_jfm.previous,4.953238392624076,peak2z_length,South Great Plains,2
p_mm_amj.previous,2.5812416131293072,peak2z_length,South Great Plains,2
pet_mm_cy.previous,9.987983166791741,peak2z_length,South Great Plains,2
pet_mm_jas.previous,4.36489852165604,peak2z_length,South Great Plains,2
pet_mm_ond.previous,7.864884950950273,peak2z_length,South Great Plains,2
pet_mm_jfm.previous,3.5860570238521112,peak2z_length,South Great Plains,2
pet_mm_amj.previous,5.473619636063427,peak2z_length,South Great Plains,2
T_max_c_cy.previous,4.998936370324566,peak2z_length,South Great Plains,2
T_max_c_jas.previous,3.924843560462643,peak2z_length,South Great Plains,2
T_max_c_ond.previous,7.701101517949736,peak2z_length,South Great Plains,2
T_max_c_jfm.previous,4.508771235637005,peak2z_length,South Great Plains,2
T_max_c_amj.previous,5.84055818023497,peak2z_length,South Great Plains,2
swe_mm_cy.previous,3.704956949126543,peak2z_length,South Great Plains,2
swe_mm_jas.previous,0.8578733209727242,peak2z_length,South Great Plains,2
swe_mm_ond.previous,3.1135230057414374,peak2z_length,South Great Plains,2
swe_mm_jfm.previous,4.23765115013545,peak2z_length,South Great Plains,2
swe_mm_amj.previous,3.2572327839277353,peak2z_length,South Great Plains,2
p.pet_cy.previous,5.005332483805971,peak2z_length,South Great Plains,2
swe.p_cy.previous,4.438721055437678,peak2z_length,South Great Plains,2
p.pet_jfm.previous,5.666196035414199,peak2z_length,South Great Plains,2
swe.p_jfm.previous,4.468530992680258,peak2z_length,South Great Plains,2
p.pet_amj.previous,2.7343191665825315,peak2z_length,South Great Plains,2
swe.p_amj.previous,5.227200191909446,peak2z_length,South Great Plains,2
p.pet_jas.previous,4.225059378293933,peak2z_length,South Great Plains,2
swe.p_jas.previous,0.12931276194553654,peak2z_length,South Great Plains,2
p.pet_ond.previous,2.353536735530028,peak2z_length,South Great Plains,2
swe.p_ond.previous,4.074899298988955,peak2z_length,South Great Plains,2
dams_n,13.175903725473141,peak2z_length,South Great Plains,2
maxstorage_af,9.385152925884467,peak2z_length,South Great Plains,2
normstorage_af,8.278729219513103,peak2z_length,South Great Plains,2
majordams_n,11.094189330566584,peak2z_length,South Great Plains,2
wuse_mm,20.780231849095415,peak2z_length,South Great Plains,2
irrig_prc,6.305489270080126,peak2z_length,South Great Plains,2
lulc_water_prc,7.512664905906012,peak2z_length,South Great Plains,2
lulc_dev_prc,7.845312959876656,peak2z_length,South Great Plains,2
lulc_wetland_prc,10.642144696907565,peak2z_length,South Great Plains,2
lulc_forest_prc,8.113564946437773,peak2z_length,South Great Plains,2
lulc_barren_prc,5.442064992774851,peak2z_length,South Great Plains,2
lulc_grass_prc,8.049253970081816,peak2z_length,South Great Plains,2
lulc_ag_prc,11.180392046206503,peak2z_length,South Great Plains,2
