gage_ID,dams_n,majordams_n,wuse_mm,irrig_prc,lulc_water_prc,lulc_dev_prc,lulc_wetland_prc,lulc_forest_prc,lulc_barren_prc,lulc_grass_prc,lulc_ag_prc,drain_sqkm,elev_mean_m_basin,slope_pct,awcave,permave,topwet,depth_bedrock_m,porosity,clayave,siltave,p_mm_ond,p_mm_jfm,pet_mm_cy,pet_mm_jas,pet_mm_ond,pet_mm_amj,T_max_c_cy,T_max_c_jas,swe_mm_cy,swe_mm_ond,p.pet_cy,swe.p_cy,p.pet_jfm,swe.p_jfm,p.pet_amj,swe.p_amj,p.pet_jas,p.pet_ond,swe.p_ond,tau_annualnoflowdays,tau_zeroflowfirst,tau_peak2z_length,tau_p_mm_ond,tau_p_mm_jfm,tau_pet_mm_cy,tau_pet_mm_amj,tau_pet_mm_jas,tau_pet_mm_ond,tau_T_max_c_cy,tau_T_max_c_jas,tau_swe_mm_cy,tau_swe_mm_ond,tau_p.pet_cy,tau_swe.p_cy,tau_p.pet_jfm,tau_swe.p_jfm,tau_p.pet_amj,tau_swe.p_amj,tau_p.pet_jas,tau_p.pet_ond,tau_swe.p_ond,region,Sample
5588000,1,0,73.05542451842105,0.0034105263157894737,0.004882155997129524,0.0974850726833216,0.007283946778004979,0.11076067289435892,2.0181602834804408e-4,0.32109999466487055,0.45828634095396636,97.5,163.2135,1.178373,0.19,1.08,13.09701,23.35161815,0.164281148,29,66.16,243.3421052631579,196.52631578947367,1182.421052631579,443.13157894736844,170.1578947368421,414.7631578947368,18.465126566052632,29.460497712368422,19.972972972972972,9.472222222222221,0.8852662453401982,0.01910164501273316,1.301134647252037,0.10576494432710337,0.8143750674850428,7.53374711708045e-4,0.6117023577789211,1.467232299418635,0.04475817740636812,-0.2532005689900427,0.12280701754385964,0.17543859649122806,-0.19630156472261737,0.025604551920341393,0.19914651493598862,0.25889046941678523,0.16500711237553342,0.16073968705547653,0.08392603129445235,0.015647226173541962,-0.10810810810810811,-0.16031746031746033,-0.004267425320056899,-0.10810810810810811,0.007112375533428165,-0.06349206349206349,0.16642958748221906,-0.10634920634920635,-0.03840682788051209,-0.24893314366998578,-0.10476190476190476,Eastern Forests,Test
2306500,0,0,45.74468752894737,0.002861842105263158,0.08177808444110608,0.7544639099786095,0.09425865110835502,0.02330491315940335,5.153108459831956e-5,0.0192228810719736,0.02692002915595418,13.6,14.26505,0.09705883,0.07,11.66,13.82017,4.921407407,0.219999999,3.62,4.34,162.81578947368422,217.8421052631579,1498.3684210526317,432.60526315789474,286.86842105263156,482.57894736842104,28.050063234473683,32.383237986842104,0,0,0.8665231255743336,0,0.7558826160123646,0,0.6762420318050271,0,1.365294762505325,0.5815830231951187,0,0.2631578947368421,0.23157894736842105,-0.1,-0.17069701280227595,-0.10953058321479374,0.44523470839260315,0.41109530583214793,0.3783783783783784,0.3200568990042674,0.17496443812233287,0.02275960170697013,0,0,0.10953058321479374,0,-0.11806543385490754,0,0.19772403982930298,0,0.14935988620199148,-0.1891891891891892,0,Eastern Forests,Test
1109070,2,0,78.2573747868421,0.0038513157894736845,3.1776668863572167e-4,0.10806101986197374,0.10799379900274679,0.72957480018320775,9.001240103253356e-4,0.03875935022581711,0.014393140027293574,27.2,34.20231,1.560778,0.15,2.29,12.39801,9.450515464,0.208206897,6.38,47.51,330.44736842105266,314.4736842105263,1065.5,389.7631578947368,156.73684210526315,368.86842105263156,15.765078657105263,26.28034897,58.75675675675676,19.666666666666668,1.177392815638975,0.04775937693100159,2.134889797222631,0.18501105174723997,0.8511418549783595,0.028505071020975093,0.7645658578575133,2.1294481285743965,0.05946650643066863,0.09815078236130868,-0.025974025974025976,-0.4155844155844156,0.08250355618776671,0.06401137980085349,0.31152204836415365,0.2603129445234708,0.30867709815078237,0.01991465149359886,0.2034139402560455,0.26173541963015645,0.01951951951951952,0.07142857142857142,-0.004267425320056899,0.024024024024024024,0.07823613086770982,0.06349206349206349,0.015647226173541962,-0.03333333333333333,-0.06401137980085349,0.08961593172119488,0.06666666666666667,Eastern Forests,Test
2303350,0,0,29.599913878947365,0.018228947368421053,0.009670274258176305,0.2158633401920439,0.3436321159122085,0.13585115695617644,0.004452216897696917,0.2586155106129521,0.0319153851707458,42,18.45036,0.06631679,0.09,9.45,14.77965,6.235760992,0.219999999,8.68,5.81,181.89473684210526,243.42105263157896,1492.078947368421,429.55263157894734,284.63157894736844,477.7368421052632,28.400193423947368,32.692820365,0,0,0.9311455747788436,0,0.8357365228232426,0,0.7512604954797222,0,1.4069059452833135,0.6525202485017104,0,-0.07681365576102418,-0.10510510510510511,-0.10317460317460317,-0.16642958748221906,-0.15789473684210525,0.39971550497866287,0.3328591749644381,0.3328591749644381,0.35135135135135137,0.09957325746799431,-0.16927453769559034,0,0,-0.012802275960170697,0,-0.14082503556187767,0,0.08108108108108109,0,0.11806543385490754,-0.2034139402560455,0,Eastern Forests,Test
2311500,6,3,23.625939202631578,0.08665,0.009172198989049998,0.041259661178816465,0.4856490030947484,0.14214453340546523,0.00398792804007433,0.2470471619005784,0.07073951339126716,923.8,34.63964,0.09726927,0.11,10.28,14.99414,3.834448841,0.222696052,8.09,5.55,181.73684210526315,225.8684210526316,1555.4736842105262,451.86842105263156,289.42105263157896,502.2894736842105,28.51976538631579,32.91527459947368,0,0,0.858043254477002,0,0.7426475806975029,0,0.7167877534249721,0,1.253502183200291,0.6381130914756242,0,0.12100840336134454,-0.16666666666666666,0.36363636363636365,-0.14793741109530584,-0.1337126600284495,0.37980085348506404,0.3157894736842105,0.42105263157894735,0.26173541963015645,0.10099573257467995,-0.10526315789473684,0,0,0.004267425320056899,0,-0.1507823613086771,0,0.10953058321479374,0,0.08961593172119488,-0.16927453769559034,0,Eastern Forests,Test
2134480,1,0,5.1103035,0.006860526315789473,0.002816613357874338,0.028852921656254006,0.23648419811932347,0.2518158528982623,3.6375729423677116e-4,0.04542172489906717,0.4342449317749819,577.2,50.47882,0.2131505,0.14,2.88,13.60657,16.18141603,0.226195933,26.05,22.85,245.10526315789474,266.2631578947368,1368.5526315789473,446.07894736842104,217.3421052631579,469.39473684210526,23.235510457894737,31.12834668263158,5.027027027027027,0.75,0.8748280642108884,0.004227172249688731,1.1518069656972025,0.01773577334037565,0.6200565964452723,0,0.8861410123179564,1.1476510482024411,0.0051335984958728355,0.08143939393939394,NA,NA,0.051209103840682786,-0.16073968705547653,0.2930298719772404,0.25177809388335703,0.31152204836415365,0.08534850640113797,0.155049786628734,0.11806543385490754,-0.012012012012012012,0.006349206349206349,0.00995732574679943,-0.010510510510510511,-0.18634423897581792,0.08412698412698413,0.18634423897581792,0,-0.02702702702702703,0.03556187766714083,0.015873015873015872,Eastern Forests,Test
8065800,22.44736842105263,0,7.3397107578947365,0.0026592105263157895,0.0028907587762100374,0.026335630295480264,0.08984662951194898,0.12542632226087946,0.0017198058617891958,0.7463023061543561,0.007478547139336008,856.1,91.88768,1.081987,0.13,1.42,13.19633,36.5203416,0.213735404,32.5,36.9,308.5263157894737,261.92105263157896,1544.8947368421052,540.1052631578947,252.44736842105263,493.7105263157895,26.308646880263158,34.48801487394737,0.6486486486486487,0.05555555555555555,0.7346753143004093,5.839814043214478e-4,1.0494254978026192,0.0026509678922342194,0.6621829379607528,0,0.4486450728132598,1.2837016359725237,4.2735042735042735e-4,-0.17069701280227595,0.09333333333333334,0.15666666666666668,-0.09246088193456614,0.04836415362731152,0.10668563300142248,0.1337126600284495,0.10384068278805121,0.1166429587482219,0.12944523470839261,0.02418207681365576,-0.02252252252252252,0.03015873015873016,0.029871977240398292,-0.018018018018018018,0.007112375533428165,-0.031746031746031744,-0.06970128022759602,0,0.10099573257467995,-0.09246088193456614,0.03015873015873016,Eastern Forests,Test
3380500,12.842105263157896,1,0.9114868815789473,0.0011460526315789474,0.005130587221812908,0.016038004122705445,0.027845880264014276,0.23831242833883426,6.522972102778808e-5,0.40867498128407437,0.30393288904753096,1204.3,154.1014,1.105865,0.18,0.7,13.12423,18.26551187,0.189999998,27.3,61.88,271.2105263157895,225.76315789473685,1162.7105263157894,435.3157894736842,167.78947368421052,407.55263157894734,18.751708409473686,29.66753432473684,16.62162162162162,6.861111111111111,0.9560096716289253,0.014861155541051468,1.5055809170119816,0.08226578834487716,0.8637224845492313,2.9239766081871346e-4,0.6088448547428713,1.642585541078767,0.02871142755310375,-0.13513513513513514,0.007352941176470588,0.029411764705882353,-0.07254623044096728,-0.02844950213371266,0.2702702702702703,0.24182076813655762,0.19487908961593173,0.18492176386913228,0.08108108108108109,-0.03556187766714083,-0.04954954954954955,-0.13968253968253969,-0.004267425320056899,-0.04504504504504504,-0.041251778093883355,0,0.11806543385490754,-0.05555555555555555,-0.01849217638691323,-0.15789473684210525,-0.1,Eastern Forests,Test
2462500,141.60526315789474,29,38.96780746842105,7.236842105263158e-4,0.01513828525070543,0.062050289765271195,0.004738044423560371,0.7171559657557252,0.00571398627459694,0.15430238254611564,0.04090104598402522,10317.5,200.7348,6.607758,0.13,1.99,12.5946,20.20740321,0.15595245,26.04,41.46,351.8421052631579,405.8421052631579,1284.2368421052631,436.5,207.10526315789474,424.7894736842105,22.86961833394737,31.37119565263158,4.216216216216216,0.5,1.1418666738018213,0.0030355292120412933,1.911669666311233,0.011090514399182223,0.8929489552209072,0,0.7528268536967407,1.7391502057523331,0.0014620486494352708,0.5159663865546219,-0.27666666666666667,-0.24,0.01991465149359886,-0.02275960170697013,0.3399715504978663,0.31436699857752487,0.35135135135135137,0.2759601706970128,0.1465149359886202,0.07539118065433854,-0.1966966966966967,0.0031746031746031746,0.015647226173541962,-0.20270270270270271,-0.049786628733997154,-0.13333333333333333,0.04551920341394026,0,0.029871977240398292,-0.08677098150782361,0.006349206349206349,Eastern Forests,Test
2263869,0,0,39.81354775526316,0.017909210526315788,0.21886691048400495,0.2197525910526835,0.3052085780375554,0.1286037428551775,8.334815078236132e-6,0.04916488397612941,0.078394958779371,8.5,29.64358,0.0917647,0.08,12.58,13.05796,5.658181818,0.219999999,3.9,4.54,185.5,228.47368421052633,1546.078947368421,451.8157894736842,285.55263157894734,497.55263157894734,28.34905721,32.74433638421053,0,0,0.8557971382324574,0,0.7512072553118364,0,0.7259885493459514,0,1.2102376262737788,0.6613775855049143,0,0.08571428571428572,-0.17983193277310924,-0.39869281045751637,-0.1593172119487909,-0.1593172119487909,0.40825035561877665,0.3186344238975818,0.4438122332859175,0.2759601706970128,0.10953058321479374,0.02275960170697013,0,0,0.001422475106685633,0,-0.1465149359886202,0,0.07254623044096728,0,0.10384068278805121,-0.20056899004267426,0,Eastern Forests,Test
