mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
3,1050,3,mae,standard,0.15129824684589038,5,0.009413013075631261,Model021,annualnoflowdays
3,1050,3,rmse,standard,0.19897833241879068,5,0.014056516212841314,Model021,annualnoflowdays
3,1050,3,rsq,standard,0.2657483799033508,5,0.03994271424744301,Model021,annualnoflowdays
3,1250,3,mae,standard,0.15127973288269225,5,0.009657133357802895,Model022,annualnoflowdays
3,1250,3,rmse,standard,0.1987440879767433,5,0.014371217647624852,Model022,annualnoflowdays
3,1250,3,rsq,standard,0.26849457470982063,5,0.04241385978744216,Model022,annualnoflowdays
3,1450,3,mae,standard,0.15151267724640993,5,0.009657654064942199,Model023,annualnoflowdays
3,1450,3,rmse,standard,0.19882990931489336,5,0.014222851570245049,Model023,annualnoflowdays
3,1450,3,rsq,standard,0.2674385912933767,5,0.04153297088890388,Model023,annualnoflowdays
3,1650,3,mae,standard,0.15109350305778319,5,0.009673957070308397,Model024,annualnoflowdays
3,1650,3,rmse,standard,0.19840849711792127,5,0.014182641838335628,Model024,annualnoflowdays
3,1650,3,rsq,standard,0.2701625722039196,5,0.041334491569501614,Model024,annualnoflowdays
4,250,3,mae,standard,0.15194773005302017,5,0.009298475044563286,Model025,annualnoflowdays
4,250,3,rmse,standard,0.20016541477994065,5,0.01402500890203897,Model025,annualnoflowdays
4,250,3,rsq,standard,0.25799717391103705,5,0.03865195357110611,Model025,annualnoflowdays
4,450,3,mae,standard,0.15141275287574915,5,0.00993468531228057,Model026,annualnoflowdays
4,450,3,rmse,standard,0.19878505056330975,5,0.01440331828362592,Model026,annualnoflowdays
4,450,3,rsq,standard,0.2674584728846875,5,0.04182628054852293,Model026,annualnoflowdays
4,650,3,mae,standard,0.15061914651346292,5,0.009484261173218931,Model027,annualnoflowdays
4,650,3,rmse,standard,0.19811646798346091,5,0.0141208941662087,Model027,annualnoflowdays
4,650,3,rsq,standard,0.2725177349499339,5,0.04107678725023175,Model027,annualnoflowdays
4,850,3,mae,standard,0.15164214674415805,5,0.009290871730420163,Model028,annualnoflowdays
4,850,3,rmse,standard,0.1989198907137127,5,0.01385370018320554,Model028,annualnoflowdays
4,850,3,rsq,standard,0.2670848954640072,5,0.03979193203755147,Model028,annualnoflowdays
4,1050,3,mae,standard,0.15152885848846398,5,0.009413589905531893,Model029,annualnoflowdays
4,1050,3,rmse,standard,0.1987521583342269,5,0.01397950869160906,Model029,annualnoflowdays
4,1050,3,rsq,standard,0.2681590330890518,5,0.04031378778942369,Model029,annualnoflowdays
4,1250,3,mae,standard,0.1515095710188172,5,0.009497215315802802,Model030,annualnoflowdays
4,1250,3,rmse,standard,0.19912281068620152,5,0.014209003398279277,Model030,annualnoflowdays
4,1250,3,rsq,standard,0.26616399291861176,5,0.04125921556243351,Model030,annualnoflowdays
4,1450,3,mae,standard,0.1515576395984483,5,0.009308572042859072,Model031,annualnoflowdays
4,1450,3,rmse,standard,0.19896043768583163,5,0.014035985857855092,Model031,annualnoflowdays
4,1450,3,rsq,standard,0.26650509140356987,5,0.040375875071897924,Model031,annualnoflowdays
4,1650,3,mae,standard,0.15133376082489616,5,0.009540629553569305,Model032,annualnoflowdays
4,1650,3,rmse,standard,0.19852672934573293,5,0.014226441514061428,Model032,annualnoflowdays
4,1650,3,rsq,standard,0.27008474922433945,5,0.041908869721218295,Model032,annualnoflowdays
6,250,3,mae,standard,0.15201688547528291,5,0.009678479771111177,Model033,annualnoflowdays
6,250,3,rmse,standard,0.19952174391827757,5,0.014460789610261551,Model033,annualnoflowdays
6,250,3,rsq,standard,0.26572285959951564,5,0.04231087319247274,Model033,annualnoflowdays
6,450,3,mae,standard,0.15167080207969375,5,0.00934908389543657,Model034,annualnoflowdays
6,450,3,rmse,standard,0.19874841006433155,5,0.014122081108052654,Model034,annualnoflowdays
6,450,3,rsq,standard,0.27029034392807444,5,0.041533793080340574,Model034,annualnoflowdays
6,650,3,mae,standard,0.15206082391577233,5,0.008928310646662168,Model035,annualnoflowdays
6,650,3,rmse,standard,0.1995762939672639,5,0.013666246699468015,Model035,annualnoflowdays
6,650,3,rsq,standard,0.2632211158510279,5,0.038534361489899645,Model035,annualnoflowdays
6,850,3,mae,standard,0.15140294542777363,5,0.008766730917197655,Model036,annualnoflowdays
6,850,3,rmse,standard,0.1989866713698073,5,0.013620380572488785,Model036,annualnoflowdays
6,850,3,rsq,standard,0.2677666808697427,5,0.03893158040673789,Model036,annualnoflowdays
6,1050,3,mae,standard,0.15169974918392412,5,0.009096590629158956,Model037,annualnoflowdays
6,1050,3,rmse,standard,0.19935735739631633,5,0.01381980729339369,Model037,annualnoflowdays
6,1050,3,rsq,standard,0.2641021676207185,5,0.03836236915994851,Model037,annualnoflowdays
6,1250,3,mae,standard,0.15210245743986245,5,0.0093530052888858,Model038,annualnoflowdays
6,1250,3,rmse,standard,0.19948170093586803,5,0.013945338011156248,Model038,annualnoflowdays
6,1250,3,rsq,standard,0.2646012875269379,5,0.03958511637443371,Model038,annualnoflowdays
