predictor,IncMSE,metric,region,iteration
swe_mm_amj,-7.220383829989374e-6,annualfractionnoflow,National,2
srad_wm2_cy,0.011096431154974036,annualfractionnoflow,National,2
srad_wm2_jas,0.0025915094873303775,annualfractionnoflow,National,2
srad_wm2_ond,0.0010638326054012565,annualfractionnoflow,National,2
srad_wm2_jfm,0.0020333041271560458,annualfractionnoflow,National,2
srad_wm2_amj,0.016112779366700188,annualfractionnoflow,National,2
pdsi_cy,8.020897693532389e-4,annualfractionnoflow,National,2
pdsi_jas,7.242526517946709e-4,annualfractionnoflow,National,2
pdsi_ond,5.178231517374694e-4,annualfractionnoflow,National,2
pdsi_jfm,3.876345086686986e-4,annualfractionnoflow,National,2
pdsi_amj,7.481874874829924e-4,annualfractionnoflow,National,2
p.pet_cy,0.02083968817875128,annualfractionnoflow,National,2
swe.p_cy,7.69721037313125e-4,annualfractionnoflow,National,2
p.pet_jfm,0.001685155376156035,annualfractionnoflow,National,2
swe.p_jfm,4.480424186535265e-4,annualfractionnoflow,National,2
p.pet_amj,0.005183608112929354,annualfractionnoflow,National,2
swe.p_amj,-1.102979034942613e-5,annualfractionnoflow,National,2
p.pet_jas,0.0050093815572708235,annualfractionnoflow,National,2
swe.p_jas,0,annualfractionnoflow,National,2
p.pet_ond,0.0014134472859489557,annualfractionnoflow,National,2
swe.p_ond,4.811472492491638e-4,annualfractionnoflow,National,2
DRAIN_SQKM,0.008424458508928895,annualfractionnoflow,National,2
ELEV_MEAN_M_BASIN,0.008008834358248946,annualfractionnoflow,National,2
SLOPE_PCT,0.005504015620438959,annualfractionnoflow,National,2
AWCAVE,0.00384859730427488,annualfractionnoflow,National,2
PERMAVE,0.005470176469752788,annualfractionnoflow,National,2
TOPWET,0.006693550711196805,annualfractionnoflow,National,2
depth_bedrock_m,0.0035475388047284534,annualfractionnoflow,National,2
CLAYAVE,0.0028014920583220746,annualfractionnoflow,National,2
SILTAVE,0.007189092193213989,annualfractionnoflow,National,2
SANDAVE,0.0034078176892475076,annualfractionnoflow,National,2
p_mm_cy,0.012845626171530714,annualfractionnoflow,National,3
p_mm_jas,0.0024486673624392174,annualfractionnoflow,National,3
p_mm_ond,0.001369160534609128,annualfractionnoflow,National,3
p_mm_jfm,0.0017745436795794255,annualfractionnoflow,National,3
p_mm_amj,0.00322776457639094,annualfractionnoflow,National,3
pet_mm_cy,0.004807603805224534,annualfractionnoflow,National,3
pet_mm_jas,0.004555869698383592,annualfractionnoflow,National,3
pet_mm_ond,9.149130388284735e-4,annualfractionnoflow,National,3
pet_mm_jfm,0.0011671576549055177,annualfractionnoflow,National,3
pet_mm_amj,0.01242017580126598,annualfractionnoflow,National,3
T_max_c_cy,0.0012201712849061821,annualfractionnoflow,National,3
T_max_c_jas,0.0015079745173369988,annualfractionnoflow,National,3
T_max_c_ond,0.0010860560621563597,annualfractionnoflow,National,3
T_max_c_jfm,0.0015137508132742267,annualfractionnoflow,National,3
T_max_c_amj,0.001614049725311708,annualfractionnoflow,National,3
T_min_c_cy,0.0014033771148546346,annualfractionnoflow,National,3
T_min_c_jas,0.0020767503015426676,annualfractionnoflow,National,3
T_min_c_ond,0.0010681386659613778,annualfractionnoflow,National,3
T_min_c_jfm,0.0013799163599300544,annualfractionnoflow,National,3
T_min_c_amj,0.0013647197132671612,annualfractionnoflow,National,3
pcumdist10days,7.695753616995748e-4,annualfractionnoflow,National,3
pcumdist50days,0.0013620066700056371,annualfractionnoflow,National,3
pcumdist90days,7.888634467705004e-4,annualfractionnoflow,National,3
swe_mm_cy,3.414489261501846e-4,annualfractionnoflow,National,3
swe_mm_jas,0,annualfractionnoflow,National,3
swe_mm_ond,2.025423404107224e-4,annualfractionnoflow,National,3
swe_mm_jfm,2.932294322179552e-4,annualfractionnoflow,National,3
swe_mm_amj,7.531512911615084e-7,annualfractionnoflow,National,3
srad_wm2_cy,0.010603304967578017,annualfractionnoflow,National,3
srad_wm2_jas,0.0017503526517395555,annualfractionnoflow,National,3
srad_wm2_ond,0.0012270956016708437,annualfractionnoflow,National,3
srad_wm2_jfm,0.0018599273187300998,annualfractionnoflow,National,3
srad_wm2_amj,0.007974472479339377,annualfractionnoflow,National,3
pdsi_cy,0.001124355203924681,annualfractionnoflow,National,3
pdsi_jas,0.001073552711450963,annualfractionnoflow,National,3
pdsi_ond,6.743128539348933e-4,annualfractionnoflow,National,3
pdsi_jfm,5.708557812672666e-4,annualfractionnoflow,National,3
pdsi_amj,0.0018142935903558487,annualfractionnoflow,National,3
p.pet_cy,0.026232585631992753,annualfractionnoflow,National,3
swe.p_cy,4.059342963381762e-4,annualfractionnoflow,National,3
p.pet_jfm,0.0018154043785737566,annualfractionnoflow,National,3
swe.p_jfm,3.8961208669507333e-4,annualfractionnoflow,National,3
p.pet_amj,0.007956065599342702,annualfractionnoflow,National,3
swe.p_amj,-8.99148450077964e-6,annualfractionnoflow,National,3
p.pet_jas,0.004155128879994872,annualfractionnoflow,National,3
swe.p_jas,0,annualfractionnoflow,National,3
p.pet_ond,0.0018476298001111645,annualfractionnoflow,National,3
swe.p_ond,4.530611872725261e-4,annualfractionnoflow,National,3
DRAIN_SQKM,0.007220481629438785,annualfractionnoflow,National,3
ELEV_MEAN_M_BASIN,0.011322953300653877,annualfractionnoflow,National,3
SLOPE_PCT,0.00961818425854241,annualfractionnoflow,National,3
AWCAVE,0.00448816627908905,annualfractionnoflow,National,3
PERMAVE,0.004095028140838928,annualfractionnoflow,National,3
TOPWET,0.014681916083761678,annualfractionnoflow,National,3
depth_bedrock_m,0.004833716214295598,annualfractionnoflow,National,3
CLAYAVE,0.008409858277628664,annualfractionnoflow,National,3
SILTAVE,0.00974789633458307,annualfractionnoflow,National,3
SANDAVE,0.004292940865828245,annualfractionnoflow,National,3
p_mm_cy,0.008586217618119608,annualfractionnoflow,National,4
p_mm_jas,0.003803505853845515,annualfractionnoflow,National,4
p_mm_ond,0.001039793944825625,annualfractionnoflow,National,4
p_mm_jfm,0.0012398433284627054,annualfractionnoflow,National,4
p_mm_amj,0.003157810318172107,annualfractionnoflow,National,4
pet_mm_cy,0.0026643737705912204,annualfractionnoflow,National,4
pet_mm_jas,0.003769499947644208,annualfractionnoflow,National,4
pet_mm_ond,7.918226151728155e-4,annualfractionnoflow,National,4
pet_mm_jfm,7.104044915998604e-4,annualfractionnoflow,National,4
pet_mm_amj,0.005415371680063144,annualfractionnoflow,National,4
T_max_c_cy,8.789250344827536e-4,annualfractionnoflow,National,4
T_max_c_jas,0.0011227871545156586,annualfractionnoflow,National,4
T_max_c_ond,6.890664061684705e-4,annualfractionnoflow,National,4
T_max_c_jfm,0.0014889373429406987,annualfractionnoflow,National,4
T_max_c_amj,0.001225736720575155,annualfractionnoflow,National,4
T_min_c_cy,0.001608406577789135,annualfractionnoflow,National,4
T_min_c_jas,0.0022617401631017794,annualfractionnoflow,National,4
T_min_c_ond,0.0013894347670260127,annualfractionnoflow,National,4
T_min_c_jfm,0.0012215461029387424,annualfractionnoflow,National,4
T_min_c_amj,0.0012602191152370737,annualfractionnoflow,National,4
pcumdist10days,7.694348042724172e-4,annualfractionnoflow,National,4
pcumdist50days,0.0014430590238662551,annualfractionnoflow,National,4
pcumdist90days,7.66390210896666e-4,annualfractionnoflow,National,4
swe_mm_cy,2.473618827203635e-4,annualfractionnoflow,National,4
swe_mm_jas,0,annualfractionnoflow,National,4
swe_mm_ond,3.0957230370452836e-4,annualfractionnoflow,National,4
swe_mm_jfm,3.839200458375031e-4,annualfractionnoflow,National,4
swe_mm_amj,4.1740407733168866e-7,annualfractionnoflow,National,4
srad_wm2_cy,0.014257389415063434,annualfractionnoflow,National,4
srad_wm2_jas,0.001776826085675667,annualfractionnoflow,National,4
srad_wm2_ond,9.974410130828685e-4,annualfractionnoflow,National,4
srad_wm2_jfm,0.0012941193767686697,annualfractionnoflow,National,4
srad_wm2_amj,0.013793319741937171,annualfractionnoflow,National,4
pdsi_cy,8.858796335976919e-4,annualfractionnoflow,National,4
pdsi_jas,7.730892307909095e-4,annualfractionnoflow,National,4
pdsi_ond,6.821971917088997e-4,annualfractionnoflow,National,4
pdsi_jfm,4.963586875086671e-4,annualfractionnoflow,National,4
pdsi_amj,0.0011215830118685855,annualfractionnoflow,National,4
p.pet_cy,0.017217161674297238,annualfractionnoflow,National,4
swe.p_cy,4.694253009916604e-4,annualfractionnoflow,National,4
p.pet_jfm,0.0014115775846260884,annualfractionnoflow,National,4
swe.p_jfm,4.437357139656313e-4,annualfractionnoflow,National,4
p.pet_amj,0.00770575797728836,annualfractionnoflow,National,4
swe.p_amj,-1.001821311999234e-5,annualfractionnoflow,National,4
p.pet_jas,0.00521308869214809,annualfractionnoflow,National,4
swe.p_jas,0,annualfractionnoflow,National,4
p.pet_ond,0.0012727953580866631,annualfractionnoflow,National,4
swe.p_ond,3.7319569620879487e-4,annualfractionnoflow,National,4
DRAIN_SQKM,0.0025867869607579305,annualfractionnoflow,National,4
ELEV_MEAN_M_BASIN,0.004940645688475341,annualfractionnoflow,National,4
SLOPE_PCT,0.003674826837718889,annualfractionnoflow,National,4
AWCAVE,0.002201794058247026,annualfractionnoflow,National,4
PERMAVE,0.0027505817711507004,annualfractionnoflow,National,4
TOPWET,0.004058262641050625,annualfractionnoflow,National,4
depth_bedrock_m,0.003340505339960556,annualfractionnoflow,National,4
CLAYAVE,0.002077735117067541,annualfractionnoflow,National,4
SILTAVE,0.0029310284871164323,annualfractionnoflow,National,4
SANDAVE,0.0027447619909435122,annualfractionnoflow,National,4
p_mm_cy,0.008346638736178002,annualfractionnoflow,National,5
p_mm_jas,0.0037539028520285965,annualfractionnoflow,National,5
p_mm_ond,0.001024722607378002,annualfractionnoflow,National,5
p_mm_jfm,6.266081380517417e-4,annualfractionnoflow,National,5
p_mm_amj,0.0029407556575320806,annualfractionnoflow,National,5
pet_mm_cy,0.0024877898844751453,annualfractionnoflow,National,5
pet_mm_jas,0.005629748234307615,annualfractionnoflow,National,5
