metric,n,OOBmse,OOBr2
annualnoflowdays,10,3601.471382236207,0.6976893570947781
annualnoflowdays,11,3448.752846944014,0.7105086838886675
annualnoflowdays,12,3351.2677695196817,0.7186916661484117
annualnoflowdays,13,3276.0108456254284,0.7250087978512366
annualnoflowdays,14,3211.3367177288874,0.7304376004456912
annualnoflowdays,15,3112.4978847503394,0.7387342181251002
annualnoflowdays,16,3064.5130814235686,0.7427621042871138
annualnoflowdays,17,3019.8072198284294,0.7465147532258558
annualnoflowdays,18,3003.378847789039,0.7478937650757377
annualnoflowdays,19,3064.7132880231347,0.7427452987708664
annualnoflowdays,20,3013.2449569941323,0.7470655952806156
annualnoflowdays,21,2968.430111966977,0.7508273923835109
annualnoflowdays,22,2936.6571282522073,0.7534944442949065
annualnoflowdays,23,2917.04944688477,0.7551403301373729
annualnoflowdays,24,2980.5803676453934,0.7498074893450689
annualnoflowdays,25,3011.682547232638,0.7471967453160728
annualnoflowdays,26,3007.230340576961,0.7475704674183956
annualnoflowdays,27,3043.754748536153,0.7445045768198092
annualnoflowdays,28,3012.0371992141586,0.7471669755200194
annualnoflowdays,29,3072.4981928444704,0.7420918270834049
annualnoflowdays,30,3099.084685320377,0.7398601337614394
annualnoflowdays,31,3129.7610726985563,0.7372851311011244
annualnoflowdays,32,3211.7703904308405,0.7304011975815772
annualnoflowdays,33,3213.5798709394885,0.7302493082125288
annualnoflowdays,34,3220.0166148640205,0.7297090023243189
annualnoflowdays,35,3258.8529974455946,0.7264490425633563
annualnoflowdays,36,3246.043524855839,0.7275242808431843
annualnoflowdays,37,3268.7615360144077,0.7256173112105087
annualnoflowdays,38,3311.566795396133,0.7220242004760347
annualnoflowdays,39,3295.8232979972754,0.7233457233524069
annualnoflowdays,40,3302.635623102227,0.7227738908529693
annualnoflowdays,41,3375.981645828066,0.7166171618576602
annualnoflowdays,42,3417.266088478102,0.7131517098035148
annualnoflowdays,43,3452.793851967661,0.7101694784092883
annualnoflowdays,44,3502.66683361276,0.7058965106496098
annualnoflowdays,45,3513.432336967587,0.704992578802343
annualnoflowdays,46,3559.1768279132757,0.7007736829883879
annualnoflowdays,47,3592.22277816236,0.6979954512614244
annualnoflowdays,48,3630.42698966176,0.6947835553500878
annualnoflowdays,49,3583.5619649221208,0.6987235812121134
annualnoflowdays,50,3637.2467491315497,0.6929739346931034
annualnoflowdays,51,3649.8363640774355,0.6919112242950565
annualnoflowdays,52,3635.8325421513077,0.6927612731734815
annualnoflowdays,53,3674.2656145486967,0.6888995417056786
annualnoflowdays,54,3755.121362990043,0.6826939424537113
zeroflowfirst,10,3133.9007755899274,0.3331851043908882
zeroflowfirst,11,3111.644601026439,0.33792065595455156
zeroflowfirst,12,3050.7299694391427,0.35088175032592794
zeroflowfirst,13,2909.882315035415,0.3808505721532017
zeroflowfirst,14,2934.893742777872,0.3755287723345774
zeroflowfirst,15,2875.8128778302143,0.38809968750184287
zeroflowfirst,16,2806.0086747408163,0.4029522580614108
zeroflowfirst,17,2722.2840500374036,0.4207667425902035
zeroflowfirst,18,2659.263170665819,0.4341759932680419
zeroflowfirst,19,2627.2904730632777,0.4409789754110126
zeroflowfirst,20,2596.3397214365928,0.44756451327351454
zeroflowfirst,21,2563.428796371445,0.4545671265127881
zeroflowfirst,22,2557.0723794586906,0.4559196114137589
zeroflowfirst,23,2538.367296671576,0.45989958037869916
zeroflowfirst,24,2545.0079445615083,0.45848661830791737
zeroflowfirst,25,2524.3842943706713,0.46287480993676466
zeroflowfirst,26,2505.3798356128523,0.4669184785434445
zeroflowfirst,27,2506.3755220103217,0.46670662163771237
zeroflowfirst,28,2506.9009036054977,0.4665948337099417
zeroflowfirst,29,2496.7386554864647,0.4687571033233985
zeroflowfirst,30,2479.963351338039,0.47232646415692325
zeroflowfirst,31,2462.8984977442365,0.47595743379590116
zeroflowfirst,32,2464.30610475191,0.47565793059299466
zeroflowfirst,33,2477.2083076463373,0.47291266783828734
zeroflowfirst,34,2478.07466343923,0.47272832921719965
zeroflowfirst,35,2484.7632593649328,0.47130516501598796
zeroflowfirst,36,2454.819921951026,0.477676350590006
zeroflowfirst,37,2476.6128749205845,0.4730393608765474
zeroflowfirst,38,2470.486088563539,0.4719749804745821
zeroflowfirst,39,2468.4532905141427,0.4724094570072339
zeroflowfirst,40,2474.718044962079,0.4710704706818274
zeroflowfirst,41,2473.245291299243,0.47138524710788177
zeroflowfirst,42,2489.1272223657747,0.46799075037287574
zeroflowfirst,43,2493.979587605224,0.46695363858254213
zeroflowfirst,44,2490.278136533428,0.46774476174794055
zeroflowfirst,45,2487.1343660395087,0.462318264803397
zeroflowfirst,46,2482.385382957806,0.4633449248418151
zeroflowfirst,47,2482.9615924251316,0.46322035686090557
zeroflowfirst,48,2493.2158183244874,0.46100354459296067
zeroflowfirst,49,2497.6021599198302,0.4601737166469544
zeroflowfirst,50,2493.5977732461643,0.4610392160486778
zeroflowfirst,51,2508.066886296649,0.45791189351236594
zeroflowfirst,52,2519.553542920857,0.4554291926030274
zeroflowfirst,53,2507.02391333093,0.45813731941435987
zeroflowfirst,54,2518.2152782575695,0.45571844220847646
peak2z_length,10,255.5473632622296,0.3516007558879032
peak2z_length,11,255.2054734692034,0.3524682314139189
peak2z_length,12,251.74453975910717,0.36124964388048275
peak2z_length,13,250.91807384349252,0.3633466323531013
peak2z_length,14,251.0643403091114,0.36297551106843784
peak2z_length,15,251.68953582126827,0.36138920513935335
peak2z_length,16,251.32289073520337,0.3623194921657076
peak2z_length,17,253.10176373716854,0.3578059652205595
