predictor,PrcIncMSE,metric,region,iteration
permave,13.654706406691494,zeroflowfirst,South Great Plains,1
topwet,15.02026493987837,zeroflowfirst,South Great Plains,1
depth_bedrock_m,16.215681720604746,zeroflowfirst,South Great Plains,1
porosity,16.72235846886492,zeroflowfirst,South Great Plains,1
storage_m,14.25767522550214,zeroflowfirst,South Great Plains,1
clayave,12.824025245640815,zeroflowfirst,South Great Plains,1
siltave,13.688127399222102,zeroflowfirst,South Great Plains,1
sandave,13.886701245899037,zeroflowfirst,South Great Plains,1
p_mm_cy,7.980134688325883,zeroflowfirst,South Great Plains,2
p_mm_jas,5.6990418171358614,zeroflowfirst,South Great Plains,2
p_mm_ond,7.472975461688661,zeroflowfirst,South Great Plains,2
p_mm_jfm,7.600475438523138,zeroflowfirst,South Great Plains,2
p_mm_amj,13.606883649691767,zeroflowfirst,South Great Plains,2
pet_mm_cy,7.020453332767709,zeroflowfirst,South Great Plains,2
pet_mm_jas,7.531904994998065,zeroflowfirst,South Great Plains,2
pet_mm_ond,8.071099380870018,zeroflowfirst,South Great Plains,2
pet_mm_jfm,9.29743733054455,zeroflowfirst,South Great Plains,2
pet_mm_amj,10.16650591717642,zeroflowfirst,South Great Plains,2
T_max_c_cy,9.349588645618926,zeroflowfirst,South Great Plains,2
T_max_c_jas,11.049242188162511,zeroflowfirst,South Great Plains,2
T_max_c_ond,11.27807602333542,zeroflowfirst,South Great Plains,2
T_max_c_jfm,10.943366086738912,zeroflowfirst,South Great Plains,2
T_max_c_amj,13.221747209572213,zeroflowfirst,South Great Plains,2
swe_mm_cy,5.127936317435878,zeroflowfirst,South Great Plains,2
swe_mm_jas,1.2281609422565192,zeroflowfirst,South Great Plains,2
swe_mm_ond,5.928668439136614,zeroflowfirst,South Great Plains,2
swe_mm_jfm,6.421896013604485,zeroflowfirst,South Great Plains,2
swe_mm_amj,4.178351327063113,zeroflowfirst,South Great Plains,2
p.pet_cy,9.279998312487056,zeroflowfirst,South Great Plains,2
